id,nct_id,allocation,intervention_model,observational_model,primary_purpose,time_perspective,masking,masking_description,intervention_model_description,subject_masked,caregiver_masked,investigator_masked,outcomes_assessor_masked
93091122,NCT00058396,,,,TREATMENT,,NONE,,,,,,
93307116,NCT01434680,RANDOMIZED,PARALLEL,,PREVENTION,,SINGLE,,,False,False,True,False
93307117,NCT01012245,,,COHORT,,PROSPECTIVE,,,,,,,
93307118,NCT02515006,RANDOMIZED,PARALLEL,,SUPPORTIVE_CARE,,NONE,,,,,,
93307119,NCT02551211,NA,SINGLE_GROUP,,DIAGNOSTIC,,NONE,,,,,,
93307120,NCT03947008,RANDOMIZED,PARALLEL,,OTHER,,NONE,,"The proposed pilot study will evaluate the feasibility and acceptability of an intuitive eating program for University of Delaware college women. A randomized controlled design will be used to study the effects of an intuitive eating intervention on body dissatisfaction and dietary restraint in young adult women, thereby reducing risk of eating disorders. There will be 2 arms of this study. The First Intuitive Eating Group (IE1) will act as the intervention group and receive the intervention first. The Second Intuitive Eating Group (IE2) will act as a waitlist group and receive the intervention the week immediately following the end of IE1's course.",,,,
93307121,NCT04682782,RANDOMIZED,CROSSOVER,,TREATMENT,,TRIPLE,,,True,True,True,False
93307122,NCT06330935,RANDOMIZED,PARALLEL,,TREATMENT,,NONE,,,,,,
93307123,NCT04429282,RANDOMIZED,PARALLEL,,PREVENTION,,QUADRUPLE,,,True,True,True,True
93307124,NCT03414528,,,FAMILY_BASED,,PROSPECTIVE,,,,,,,
93307125,NCT02939339,RANDOMIZED,PARALLEL,,TREATMENT,,SINGLE,,,True,False,False,False
93307126,NCT03930329,RANDOMIZED,PARALLEL,,PREVENTION,,SINGLE,,,False,False,False,True
93091123,NCT04617782,RANDOMIZED,CROSSOVER,,OTHER,,NONE,open label,"Phase 1, open-label, randomized, 3-period, 3-treatment, crossover PK study to evaluate the steady-state pharmacokinetics",,,,
93091124,NCT05481775,RANDOMIZED,SINGLE_GROUP,,TREATMENT,,NONE,,,,,,
93091125,NCT01650298,RANDOMIZED,PARALLEL,,BASIC_SCIENCE,,NONE,,,,,,
93523476,NCT05619653,RANDOMIZED,PARALLEL,,TREATMENT,,QUADRUPLE,Placebo,"multicentre randomised double-blind, placebo-controlled clinical trial 1:1 randomisation",True,True,True,True
93091126,NCT00028483,,,,TREATMENT,,,,,,,,
93091127,NCT05599308,NON_RANDOMIZED,PARALLEL,,SCREENING,,NONE,,"Prospective, parallel-cohort, open label, non-randomized study",,,,
93091128,NCT03689582,NA,SINGLE_GROUP,,DIAGNOSTIC,,NONE,,,,,,
93091129,NCT03762876,,,COHORT,,PROSPECTIVE,,,,,,,
93091130,NCT05697783,,,COHORT,,RETROSPECTIVE,,,,,,,
93091131,NCT02204930,NA,SINGLE_GROUP,,SUPPORTIVE_CARE,,NONE,,,,,,
93091132,NCT04412577,NA,SINGLE_GROUP,,TREATMENT,,NONE,,,,,,
93091133,NCT01138423,RANDOMIZED,CROSSOVER,,TREATMENT,,QUADRUPLE,,,True,True,True,True
93091134,NCT01412177,RANDOMIZED,PARALLEL,,TREATMENT,,TRIPLE,,,True,False,True,True
93091135,NCT06343831,NA,SINGLE_GROUP,,OTHER,,NONE,,"Patients planning to undergo autologous fat transfer for breast or chest wall reconstruction will be enrolled prospectively. Participants will undergo standard photographs (2-D imaging) of their chest wall and torso, including the breasts, and complete a validated questionnaire (BREAST-QTM) to evaluate patient satisfaction, and quality of life, all standard of care. The 3D photographs, MRI, and US are routinely used in practice but will be performed for research purposes in this study.",,,,
93091136,NCT04772872,,,CASE_CONTROL,,PROSPECTIVE,,,,,,,
93091137,NCT03991312,NON_RANDOMIZED,SINGLE_GROUP,,TREATMENT,,NONE,,,,,,
93091138,NCT02038816,RANDOMIZED,PARALLEL,,TREATMENT,,NONE,,,,,,
93091139,NCT03367767,,,COHORT,,PROSPECTIVE,,,,,,,
93091140,NCT01391364,RANDOMIZED,PARALLEL,,TREATMENT,,DOUBLE,,,True,False,True,False
93091141,NCT02085759,,,CASE_CONTROL,,PROSPECTIVE,,,,,,,
93091142,NCT01026545,RANDOMIZED,PARALLEL,,,,DOUBLE,,,True,False,True,False
93091143,NCT00008008,,,,TREATMENT,,NONE,,,,,,
93307127,NCT03693053,,,COHORT,,PROSPECTIVE,,,,,,,
93307128,NCT00525928,NA,SINGLE_GROUP,,TREATMENT,,NONE,,,,,,
93307129,NCT01561482,NA,SINGLE_GROUP,,TREATMENT,,NONE,,,,,,
93523477,NCT02823821,RANDOMIZED,PARALLEL,,HEALTH_SERVICES_RESEARCH,,NONE,,,,,,
93523478,NCT03735992,RANDOMIZED,PARALLEL,,TREATMENT,,SINGLE,,,False,False,False,True
93523479,NCT06524115,NA,SINGLE_GROUP,,SCREENING,,NONE,,,,,,
93091144,NCT00683878,RANDOMIZED,PARALLEL,,TREATMENT,,DOUBLE,,,True,False,True,False
93091145,NCT00923923,RANDOMIZED,PARALLEL,,BASIC_SCIENCE,,DOUBLE,,,True,False,True,False
93091146,NCT06048302,NON_RANDOMIZED,PARALLEL,,OTHER,,NONE,,"This is a Phase 1, open-label, single-dose, parallel-group study to evaluate the plasma PK and safety of obicetrapib in participants with moderate hepatic impairment relative to participants with normal hepatic function. The purpose of the study is to investigate the effect of moderate hepatic impairment on obicetrapib PK and safety in otherwise healthy participants after a single oral 10 mg dose of obicetrapib.",,,,
93091147,NCT02041325,RANDOMIZED,PARALLEL,,,,DOUBLE,,,True,False,True,False
93091148,NCT03397264,RANDOMIZED,PARALLEL,,TREATMENT,,QUADRUPLE,Ph 1b open label; Ph 2a quadruple masked,Phase 1b - sequential dose followed by Phase 2a - parallel arm,True,True,True,True
93091149,NCT02682381,RANDOMIZED,SINGLE_GROUP,,TREATMENT,,TRIPLE,,,True,True,True,False
93091150,NCT03481894,RANDOMIZED,PARALLEL,,SUPPORTIVE_CARE,,NONE,,,,,,
93091151,NCT00060645,NON_RANDOMIZED,SINGLE_GROUP,,TREATMENT,,NONE,,,,,,
93307130,NCT05801445,RANDOMIZED,PARALLEL,,TREATMENT,,NONE,,,,,,
93307131,NCT03167151,RANDOMIZED,PARALLEL,,TREATMENT,,NONE,,,,,,
93307132,NCT00709501,RANDOMIZED,PARALLEL,,TREATMENT,,TRIPLE,,,True,False,True,True
93307133,NCT05730114,,,COHORT,,PROSPECTIVE,,,,,,,
93307134,NCT01021709,NA,SINGLE_GROUP,,TREATMENT,,NONE,,,,,,
93414900,NCT05078476,RANDOMIZED,PARALLEL,,TREATMENT,,DOUBLE,,,True,False,False,True
93523480,NCT05299398,RANDOMIZED,PARALLEL,,PREVENTION,,TRIPLE,,,True,True,True,False
93523481,NCT03197467,NA,SINGLE_GROUP,,TREATMENT,,NONE,,,,,,
93523482,NCT06354920,RANDOMIZED,PARALLEL,,HEALTH_SERVICES_RESEARCH,,NONE,,Quasi-experimental randomized controlled trial,,,,
93523483,NCT06346847,RANDOMIZED,PARALLEL,,TREATMENT,,TRIPLE,,"Randomized, Double-blind, Placebo-controlled",True,True,True,False
93543873,NCT03297866,,,COHORT,,CROSS_SECTIONAL,,,,,,,
93087011,NCT04383457,,,COHORT,,PROSPECTIVE,,,,,,,
93087012,NCT04690530,,,COHORT,,PROSPECTIVE,,,,,,,
93087013,NCT06283771,RANDOMIZED,CROSSOVER,,OTHER,,TRIPLE,"An independent biostatistician, who is not involved in the study, will select 70 individuals from the list of students enrolled between 1-250 by computer-generated randomization. The information that the volunteers included in the research sample were assigned to group A (experimental) and B (control) according to the randomization table will be kept by the researcher and the socks with the same appearance, with and without heating feature will be numbered from 1 to 70 according to the randomization table and given to the researcher. Thus, the practitioner will be blinded as he/she does not know which sock has a heating feature and which one does not. Healthy volunteers will be blinded because they do not know which group they are in. The data will be analyzed by a statistician independent of the research and the findings will be reported. Thus, the data analysis and statistics phase will also be blinded to group assignment.","The research was planned as a prospective, two-arm (1:1), randomized controlled, double-blind study",True,False,True,True
93087014,NCT01960582,NON_RANDOMIZED,PARALLEL,,HEALTH_SERVICES_RESEARCH,,NONE,,,,,,
93087015,NCT04376749,,,CASE_CONTROL,,PROSPECTIVE,,,,,,,
93087016,NCT04961541,RANDOMIZED,PARALLEL,,PREVENTION,,TRIPLE,,,True,True,True,False
93087017,NCT03939637,RANDOMIZED,PARALLEL,,TREATMENT,,NONE,,,,,,
93087018,NCT01684202,NA,SINGLE_GROUP,,TREATMENT,,NONE,,,,,,
93087019,NCT00191308,NON_RANDOMIZED,SINGLE_GROUP,,TREATMENT,,NONE,,,,,,
93087020,NCT00664885,RANDOMIZED,PARALLEL,,TREATMENT,,SINGLE,,,False,False,False,True
93087021,NCT06583629,NA,SINGLE_GROUP,,SUPPORTIVE_CARE,,NONE,,,,,,
93087022,NCT01433172,RANDOMIZED,PARALLEL,,TREATMENT,,NONE,,,,,,
93087023,NCT00640107,,,CASE_ONLY,,PROSPECTIVE,,,,,,,
93087024,NCT01843023,RANDOMIZED,PARALLEL,,TREATMENT,,NONE,,,,,,
93087025,NCT02451995,RANDOMIZED,PARALLEL,,TREATMENT,,NONE,,,,,,
93307135,NCT01382498,RANDOMIZED,PARALLEL,,PREVENTION,,QUADRUPLE,,,True,True,True,True
93307136,NCT03553381,,,COHORT,,PROSPECTIVE,,,,,,,
93307137,NCT01076244,NA,SINGLE_GROUP,,TREATMENT,,NONE,,,,,,
93307138,NCT01156740,RANDOMIZED,PARALLEL,,TREATMENT,,NONE,,,,,,
93307139,NCT03024892,NON_RANDOMIZED,PARALLEL,,TREATMENT,,NONE,,,,,,
93307140,NCT03049670,,,COHORT,,PROSPECTIVE,,,,,,,
93307141,NCT00304382,RANDOMIZED,CROSSOVER,,PREVENTION,,NONE,,,,,,
93307142,NCT05828758,RANDOMIZED,PARALLEL,,TREATMENT,,QUADRUPLE,"Enrolled children will be equally randomized into study and control group using computer generated numbers, which will be sealed into sequentially numbered opaque envelopes by a person not belonging to the research team. For each enrolled participant, the envelope in order will be opened, and the assigned study drug will be used. A pharmacist will fill the active and placebo preparations in similar containers with sealed code for identification. Participants' families, treating clinicians, and investigators will be unaware of group assignment and drug/placebo therapy.","Two groups of children with enteral feeding intolerance:

Study group: will receive amoxicillin 10 mg/kg (50 mg/ml concentration) by nasogastric tube 3 times daily (8 hours apart) 10 minutes before bolus gastric feeding for 7 days. The nasogastric tube will be flushed by 5 ml distilled water after each dose.

Control group: will receive equal volume of distilled water (0.2 ml/kg + 5 ml) as a placebo.",True,True,True,True
93307143,NCT04351698,RANDOMIZED,PARALLEL,,TREATMENT,,SINGLE,,,False,False,False,True
93307144,NCT03832972,,,COHORT,,CROSS_SECTIONAL,,,,,,,
93307145,NCT02939846,NA,SINGLE_GROUP,,TREATMENT,,NONE,,,,,,
93307146,NCT04243057,,,OTHER,,OTHER,,,,,,,
93307147,NCT01780454,NA,SINGLE_GROUP,,TREATMENT,,NONE,,,,,,
93307148,NCT00161369,,,DEFINED_POPULATION,,PROSPECTIVE,,,,,,,
93307149,NCT01421212,NA,SINGLE_GROUP,,PREVENTION,,NONE,,,,,,
93307150,NCT03186586,RANDOMIZED,PARALLEL,,TREATMENT,,TRIPLE,,,True,True,True,False
93307151,NCT04030689,,,OTHER,,OTHER,,,,,,,
93307152,NCT00648687,RANDOMIZED,PARALLEL,,PREVENTION,,TRIPLE,,,False,True,True,True
93307153,NCT05889949,,,COHORT,,PROSPECTIVE,,,,,,,
93307154,NCT03437941,RANDOMIZED,PARALLEL,,TREATMENT,,QUADRUPLE,,,True,True,True,True
93307155,NCT02274077,RANDOMIZED,PARALLEL,,TREATMENT,,QUADRUPLE,,,True,True,True,True
93307156,NCT06011278,RANDOMIZED,PARALLEL,,SUPPORTIVE_CARE,,SINGLE,,"Assignment to the experimental and control groups will be made by an independent statistician to avoid bias and ensure confidentiality. Thus, selection bias will be controlled by making random assignment and hiding the randomization.

In the study, participant and researcher will not be blinded. Blinding will not be possible because the researcher follows the participants and parents on a daily basis and is aware of the intervention. The data will be coded as 'A' and 'B' by the researcher and transferred to the computer. It is recommended that all stages of randomized controlled trials be conducted according to the Consolidated Standards of Reporting Trials (CONSORT). In this context, the study will be conducted on the basis of the CONSORT 2017 (Updated Guidelines for Reporting Randomized Parallel Group Studies) guideline during the randomization stages of this study.",False,False,False,True
93307157,NCT01265043,RANDOMIZED,PARALLEL,,TREATMENT,,SINGLE,,,False,False,False,True
93307158,NCT06074692,NON_RANDOMIZED,PARALLEL,,TREATMENT,,SINGLE,,,False,False,False,True
93307159,NCT04636645,RANDOMIZED,PARALLEL,,TREATMENT,,DOUBLE,,,True,False,False,True
93307160,NCT03560570,,,CASE_CONTROL,,RETROSPECTIVE,,,,,,,
93307161,NCT05202756,RANDOMIZED,PARALLEL,,TREATMENT,,SINGLE,,,False,False,False,True
93307162,NCT05194163,RANDOMIZED,PARALLEL,,TREATMENT,,QUADRUPLE,Subjects will be randomized through a computerized system by a Data/Statistics Group independent from the investigator or Sponsor,double-blind randomized placebo-controlled,True,True,True,True
93307163,NCT04515056,RANDOMIZED,SINGLE_GROUP,,BASIC_SCIENCE,,SINGLE,,,True,False,False,False
93307164,NCT02561208,RANDOMIZED,PARALLEL,,PREVENTION,,NONE,,,,,,
93307165,NCT01579643,RANDOMIZED,SINGLE_GROUP,,TREATMENT,,NONE,,,,,,
93307166,NCT01758705,,,COHORT,,PROSPECTIVE,,,,,,,
93307167,NCT06269159,,,COHORT,,OTHER,,,,,,,
93307168,NCT01271504,RANDOMIZED,PARALLEL,,TREATMENT,,NONE,,,,,,
93307169,NCT03865953,RANDOMIZED,CROSSOVER,,TREATMENT,,QUADRUPLE,,"This is the first study with LAT8881 in subjects with neuropathic pain. As such, it has been designed to evaluate, in a well-defined patient group, the concept that LAT8881 is safe and effective in this indication.

Subjects enrolled into this study have been diagnosed with Post Herpetic Neuralgia (PHN) or Diabetic Peripheral Neuropathy (DPN), both conditions being well accepted examples of neuropathic pain. Because the pain is chronic, without a period effect, and treatment is symptomatic rather than curative, a crossover study is considered appropriate. Studies with other agents have successfully demonstrated analgesic effects in PHN and DPN with a crossover study design",True,True,True,True
93307170,NCT00882115,NA,SINGLE_GROUP,,BASIC_SCIENCE,,NONE,,,,,,
93307171,NCT00981708,NA,SINGLE_GROUP,,TREATMENT,,NONE,,,,,,
93307172,NCT05828836,RANDOMIZED,PARALLEL,,TREATMENT,,QUADRUPLE,,,True,True,True,True
93307173,NCT02375347,NA,SINGLE_GROUP,,,,NONE,,,,,,
93307174,NCT02412579,,,COHORT,,PROSPECTIVE,,,,,,,
93307175,NCT05147337,RANDOMIZED,PARALLEL,,OTHER,,DOUBLE,,,True,False,True,False
93307176,NCT01547598,RANDOMIZED,PARALLEL,,TREATMENT,,SINGLE,,,False,False,True,False
93307177,NCT00415701,RANDOMIZED,PARALLEL,,TREATMENT,,QUADRUPLE,,,True,True,True,True
93307178,NCT03017937,NA,SINGLE_GROUP,,OTHER,,NONE,,,,,,
93307179,NCT03313141,NA,SINGLE_GROUP,,BASIC_SCIENCE,,NONE,,To compare diaphragm elastrography provided by ultrasound to diaphragm function indices provided by magnetic/electrical phrenic nerves stimulation,,,,
93307180,NCT02706951,RANDOMIZED,PARALLEL,,TREATMENT,,QUADRUPLE,,,True,True,True,True
93473197,NCT03123978,NA,SINGLE_GROUP,,TREATMENT,,NONE,,,,,,
93307181,NCT03653923,RANDOMIZED,CROSSOVER,,BASIC_SCIENCE,,NONE,Psychotherapeutic Investigation - No masking possible,"Waiting-List RCT with crossover after Treatment (Waiting-List will be treated, treated subjects will rest)",,,,
93307182,NCT01855347,,,COHORT,,PROSPECTIVE,,,,,,,
93473198,NCT00111956,RANDOMIZED,PARALLEL,,TREATMENT,,QUADRUPLE,,,True,True,True,True
93473199,NCT06256835,RANDOMIZED,PARALLEL,,SUPPORTIVE_CARE,,DOUBLE,,,False,False,True,True
93473200,NCT00347113,RANDOMIZED,SINGLE_GROUP,,PREVENTION,,NONE,,,,,,
93473201,NCT01888341,RANDOMIZED,CROSSOVER,,TREATMENT,,NONE,,,,,,
93473202,NCT01502124,RANDOMIZED,PARALLEL,,TREATMENT,,NONE,,,,,,
93473203,NCT03836924,,,COHORT,,PROSPECTIVE,,,,,,,
93473204,NCT03534908,,,COHORT,,RETROSPECTIVE,,,,,,,
93307183,NCT01908751,RANDOMIZED,FACTORIAL,,TREATMENT,,QUADRUPLE,,,True,True,True,True
93523484,NCT05201144,RANDOMIZED,PARALLEL,,TREATMENT,,QUADRUPLE,Study drug/placebo will be drawn up in amber syringes by investigational pharmacy to blind the bedside RN who will be administering the study drug. Only investigational pharmacy is unblinded.,"randomized, double blinded, placebo controlled pilot trial",True,True,True,True
93307184,NCT04292587,,,COHORT,,PROSPECTIVE,,,,,,,
93307185,NCT01821105,NA,SINGLE_GROUP,,DIAGNOSTIC,,NONE,,,,,,
93307186,NCT01475461,RANDOMIZED,PARALLEL,,TREATMENT,,TRIPLE,,,True,True,True,False
93307187,NCT04594837,RANDOMIZED,PARALLEL,,TREATMENT,,SINGLE,,,False,False,False,True
93307188,NCT00508495,RANDOMIZED,PARALLEL,,TREATMENT,,QUADRUPLE,,,True,True,True,True
93307189,NCT03509389,,,COHORT,,PROSPECTIVE,,,,,,,
93307190,NCT04740723,NA,SINGLE_GROUP,,DEVICE_FEASIBILITY,,NONE,,"The study is a prospective, single-arm, multi-center, non-randomized feasibility trial",,,,
93307191,NCT00571441,,,CASE_CONTROL,,PROSPECTIVE,,,,,,,
93307192,NCT03080142,RANDOMIZED,PARALLEL,,TREATMENT,,NONE,,,,,,
93307193,NCT06544356,,,OTHER,,CROSS_SECTIONAL,,,,,,,
93307194,NCT02328079,RANDOMIZED,PARALLEL,,TREATMENT,,NONE,,,,,,
93307195,NCT03946202,RANDOMIZED,PARALLEL,,TREATMENT,,NONE,,,,,,
93414901,NCT04331314,RANDOMIZED,PARALLEL,,TREATMENT,,DOUBLE,,Twenty patients scheduled for lateral-window sinus floor Elevation SFE will be randomized to an HA and a β-TCP/HA Group.,True,False,True,False
93414902,NCT00876902,RANDOMIZED,PARALLEL,,PREVENTION,,DOUBLE,,,True,False,True,False
93414903,NCT04071249,,,COHORT,,PROSPECTIVE,,,,,,,
93523485,NCT04104412,RANDOMIZED,PARALLEL,,TREATMENT,,NONE,,,,,,
93523486,NCT04323618,NA,SINGLE_GROUP,,DEVICE_FEASIBILITY,,NONE,,,,,,
93523487,NCT05342753,NA,SINGLE_GROUP,,TREATMENT,,NONE,,,,,,
93523488,NCT06069154,RANDOMIZED,PARALLEL,,TREATMENT,,QUADRUPLE,"All investigators, participants, and clinical staff will be masked to treatment group assignment, with the only exception being the unmasked individual who performs the procedure (and will not have subsequent contact with the participant).","Pragmatic, multicenter, randomized, triple-masked, sham-controlled clinical trial",True,True,True,True
93523489,NCT05441033,RANDOMIZED,PARALLEL,,SUPPORTIVE_CARE,,NONE,No masking was applied. Both participants and researchers were aware of the assigned interventions.,"Randomized controlled trial with three parallel arms: fetal heart sounds group (FHS), guided imagery technique group (GIT), and control group.",,,,
93523490,NCT04602026,RANDOMIZED,PARALLEL,,SUPPORTIVE_CARE,,NONE,,,,,,
93523491,NCT06847906,RANDOMIZED,PARALLEL,,HEALTH_SERVICES_RESEARCH,,SINGLE,,Compare two different types of a virtual CDS tool in a randomized pilot study at one health system.,True,False,False,False
93523492,NCT04236414,NON_RANDOMIZED,PARALLEL,,TREATMENT,,NONE,,,,,,
93523493,NCT02984566,NA,SINGLE_GROUP,,TREATMENT,,NONE,,,,,,
93523494,NCT03848663,NON_RANDOMIZED,PARALLEL,,TREATMENT,,NONE,,,,,,
93523495,NCT05199194,RANDOMIZED,PARALLEL,,TREATMENT,,QUADRUPLE,,,True,True,True,True
93523496,NCT03805451,RANDOMIZED,PARALLEL,,PREVENTION,,NONE,,,,,,
93523497,NCT04865406,,,COHORT,,PROSPECTIVE,,,,,,,
93523498,NCT03243344,RANDOMIZED,PARALLEL,,PREVENTION,,SINGLE,,,False,True,False,False
93523499,NCT01632904,RANDOMIZED,PARALLEL,,TREATMENT,,QUADRUPLE,,,True,True,True,True
93523500,NCT01045083,RANDOMIZED,CROSSOVER,,DIAGNOSTIC,,SINGLE,,,False,False,False,True
93523501,NCT04721704,RANDOMIZED,PARALLEL,,TREATMENT,,SINGLE,,,True,False,False,False
93523502,NCT05709119,,,COHORT,,PROSPECTIVE,,,,,,,
93523503,NCT03958214,RANDOMIZED,PARALLEL,,PREVENTION,,SINGLE,All interviews are conducted by research assistants who are blind to study condition.,Families are blocked within home visitor caseload and randomly assigned to receive the new curriculum or usual practice Early Head Start home visits for 12 weeks.,False,False,False,True
93307196,NCT01632189,NA,SINGLE_GROUP,,BASIC_SCIENCE,,NONE,,,,,,
93307197,NCT01896180,RANDOMIZED,PARALLEL,,TREATMENT,,SINGLE,,,False,False,False,True
93307198,NCT01112436,RANDOMIZED,PARALLEL,,TREATMENT,,DOUBLE,,,True,False,False,True
93307199,NCT00520624,RANDOMIZED,PARALLEL,,TREATMENT,,SINGLE,,,False,False,True,False
93307200,NCT02002962,RANDOMIZED,PARALLEL,,TREATMENT,,SINGLE,,,True,False,False,False
93307201,NCT04812743,NA,SINGLE_GROUP,,PREVENTION,,NONE,,,,,,
