id,nct_id,intervention_type,name,description
159400376,NCT03030495,DEVICE,Comprehensive physiologic evaluation,"Comprehensive physiologic evaluation using pressure-temperature sensor wire to measure fractional flow reserve, coronary flow reserve, index of microcirculatory resistance"
159599700,NCT04861675,PROCEDURE,Full mouth rehabilitation under general anaesethia,"Assessment of change in oral health related quality of life , body growth status and oral hygiene status for children with special health care needs after full mouth rehabilitation under general anesethia,"
159599701,NCT04162184,BEHAVIORAL,Sexual Health Initiative for Navigation and Education (SHINE) Health Educator Intervention,"a brief health educator-led behavioral intervention focused on educating, identifying reproductive health needs, and linking to services if desired"
159769477,NCT05188521,DRUG,Baricitinib (LY3009104) 2 mg,2 mg orally administered once daily for 16 weeks
159769478,NCT05188521,DRUG,Baricitinib (LY3009104) 4 mg,4 mg orally administered once daily for 12 weeks
159769479,NCT02602184,DRUG,AR/101,
159769480,NCT02602184,DRUG,Placebo,
159769481,NCT04027764,DRUG,Toripalimab Combined With S1 and Albumin Paclitaxel,Toripalimab 240 mg ，every 2-3 weeks S1：80-120mg，bid；oral，d1-14； Albumin Paclitaxel：120mg/m2，D 1 \\8
159769482,NCT02201498,PROCEDURE,Pulpotomies with Formocresol/OZE and Biodentine,
159769483,NCT00506753,BEHAVIORAL,MI/CBT,Motivational Interviewing followed by Cognitive Behavior Therapy
159769484,NCT00506753,BEHAVIORAL,RT/SU,Relaxation Training followed by Treatment as Usual
159769485,NCT04849845,COMBINATION_PRODUCT,Afrezza Dose 1,"The first dose of Afrezza will be based on the dose of subcutaneous rapid-acting analogue (RAA) insulin that the subject would normally take for the standardized meal, converted according to the guidelines provided in the current Afrezza U.S. prescribing information."
159769486,NCT04849845,COMBINATION_PRODUCT,Afrezza Dose 2,"The second dose of Afrezza will be based on the dose of subcutaneous rapid-acting analogue that the subject would normally take for the standardized meal, converted by multiplying their RAA dose by 2 and rounding down to the nearest Afrezza cartridge size."
159795078,NCT03835468,DIETARY_SUPPLEMENT,Maltodextrin,sugar based placebo
159795079,NCT00380679,BIOLOGICAL,Influenza vaccination,
159216963,NCT03475953,DRUG,Phase 1 : Avelumab,"A treatment cycle consists of 4 weeks. Treatment may continue until disease progression or study discontinuation (withdrawal of consent, intercurrent illness, unacceptable adverse event or any other changes unacceptable for further treatment, etc.). Avelumab will be administered on cycle 1 Day 15 as a 1-hour intravenous (IV) infusion (10mg/kg), repeated every two weeks thereafter (ie. Day 1 and Day 15 of each subsequent cycle, as a 1-hour intravenous infusion)."
159585625,NCT06956742,DEVICE,Placebo intermittent intrapulmonary deflation.,"Placebo intermittent intrapulmonary deflation sessions will be performed using the SIMEOX device (SIMEOX, PhysioAssist, Aix-en-Provence, France), which will be delivered to the patient's home by a home healthcare provider. Due to the physiological mechanism of action of the device (intermittent negative pressure with increasing intensity, inversely proportional to airflow resistance), it is assumed that device use under placebo conditions will be infra-therapeutic.

To ensure this, the device will be set to the same setting as the active intermittent intrapulmonary deflation session but an intentional air leak will be introduced into the circuit at the device's output (not visible to the participant) to prevent the generated negative pressure from exceeding t The validity of this placebo condition will be confirmed through bench tests.

All other conditions will remain identical to the active intermittent intrapulmonary deflation sessions. Patients will be instructed to perform tidal vo"
159216964,NCT03475953,DRUG,Phase 2 : Regorafenib,Phase 2 : Regorafenib - All patients will be treated at the RP2D of regorafenib defined in the preliminary phase 1 trial with the same schedule as in the phase I.
159216965,NCT03475953,DRUG,Phase 2 : Avelumab,Phase 2 : Avelumab - All patients will be treated with avelumab with the same schedule as in the phase 1 trial.
159216966,NCT03475953,DRUG,Phase 2: low-dose Regorafenib,Phase 2 : Regorafenib - All patients will be treated at a fixed low-dose of regorafenib of 80 mg/day
159216967,NCT04867031,DIETARY_SUPPLEMENT,Milk,"One portion of semi-skimmed cow's milk (approx. 450mL), providing \~140µg of iodine."
159216968,NCT04867031,DIETARY_SUPPLEMENT,Fish,"One portion of cod (approx. 130g), providing \~140µg of iodine."
159216969,NCT04867031,DIETARY_SUPPLEMENT,Seaweed,"One portion of dried seaweed sheets (approx. 6g), providing \~140µg of iodine."
159216970,NCT02898571,DIETARY_SUPPLEMENT,Placebo,Placebo comparitor
159216971,NCT02898571,DIETARY_SUPPLEMENT,Vitamin C,Active treatment
159216972,NCT02898571,DIETARY_SUPPLEMENT,epicatechin,Active treatment
159216973,NCT01266720,BIOLOGICAL,"VEGFR1, VEGFR2","One mg of each peptide will be administered subctaneously on days 1, 8, 15 and 22"
159216974,NCT01266720,DRUG,Gemcitabine,"Gemcitabine will be administered intravenously at a fixed dose of 1000mg/m2 on day 1, 8, 15."
159216975,NCT02259075,DRUG,Botulinum Toxin Type A,
159216976,NCT03402048,DRUG,Carboplatin,
159216977,NCT03402048,DRUG,Gemcitabine,
159585626,NCT06406309,BEHAVIORAL,Power Down manipulation,The Power Down is a bedtime manipulation protocol targeting elevated arousal level at bedtime due to a hypothesized effect of sensory over-responsivity (a common experience for children with ADHD). The Power Down incorporates sensory-based tools (gentle tactile pressure and auditory cues) to support nervous system regulation prior to attempting sleep onset. Caregivers will lead a nightly gentle massage with guided relaxation script just prior to the child trying to fall asleep during the 2-week intervention phase. The child will also wear a watch-like activity monitor (ActiGraph GT9x) for the 2 week period throughout the day and night to measure changes in sleep and activity patterns. Caregivers will complete daily diary questions in the morning and evening reporting their child's emotions and sleep timing.
159585627,NCT03507673,DIAGNOSTIC_TEST,Blood samples and microbiological swaps,Blood analysis and analysis of vaginal microbiota.
159585628,NCT05180578,OTHER,Goat milk diet,Elimination of cow milk from diet . Goat milk containing diet.
159585629,NCT05591274,DEVICE,SmileyScope Virtual Reality Headset,"The SmileyScope Virtual Reality Headset is a VR headset undergoing study for approval by the U.S. Food and Drug Administration (FDA) to reduce pain and anxiety in patients aged 4 years and older undergoing needle blood draw or injection procedures. Currently, this device has been granted entrance to the FDA Safer Technologies Program. The device comes pre-loaded with either an interactive or static virtual reality scenario."
159585630,NCT00222053,DRUG,Thalidomide,Per os thalidomide
159585631,NCT00222053,DRUG,Biphosphonates,Biphosphonates
159585632,NCT03746951,DRUG,Ropivacaine Hcl 0.5% Inj Vil 20Ml,Anesthetic agent used in peripheral nerve block
159599702,NCT04811456,OTHER,multisystem inflammatory syndrome in children (MIS-C),as in group description
159599703,NCT04004650,PROCEDURE,Gluteal turnover flap,Link to procedure: https://www.youtube.com/watch?v=u7_vH2_1ZZc
159216978,NCT03402048,DRUG,Pemetrexed,
159216979,NCT03402048,DRUG,Docetaxel,
159216980,NCT03402048,DRUG,Vinorelbine,
