id,nct_id,ctgov_group_code,result_type,title,description,outcome_id
317109287,NCT00669240,OG000,Outcome,Varenicline,"According to the approved Summary of Product Characteristics (SmPC), participants were required to take 0.5 milligram (mg) orally once daily for the first 3 days and titrate up to 0.5 mg twice daily for days 4-7. From Day 8 to the end of treatment, participants should have taken 1 mg twice daily. Participants who cannot tolerate adverse effects of Champix could have the dose lowered temporarily or permanently to 0.5 mg twice daily. Participants were to be treated for 12 weeks, at which time a maintenance period of 12 weeks could be prescribed. Treatment was to start 1-2 weeks prior to quitting smoking.",101145092.0
317109288,NCT00669240,OG000,Outcome,Varenicline,"According to the approved Summary of Product Characteristics (SmPC), participants were required to take 0.5 milligram (mg) orally once daily for the first 3 days and titrate up to 0.5 mg twice daily for days 4-7. From Day 8 to the end of treatment, participants should have taken 1 mg twice daily. Participants who cannot tolerate adverse effects of Champix could have the dose lowered temporarily or permanently to 0.5 mg twice daily. Participants were to be treated for 12 weeks, at which time a maintenance period of 12 weeks could be prescribed. Treatment was to start 1-2 weeks prior to quitting smoking.",101145093.0
317109289,NCT00669240,OG000,Outcome,Varenicline,"According to the approved Summary of Product Characteristics (SmPC), participants were required to take 0.5 milligram (mg) orally once daily for the first 3 days and titrate up to 0.5 mg twice daily for days 4-7. From Day 8 to the end of treatment, participants should have taken 1 mg twice daily. Participants who cannot tolerate adverse effects of Champix could have the dose lowered temporarily or permanently to 0.5 mg twice daily. Participants were to be treated for 12 weeks, at which time a maintenance period of 12 weeks could be prescribed. Treatment was to start 1-2 weeks prior to quitting smoking.",101145094.0
317109290,NCT00669240,OG000,Outcome,Varenicline,"According to the approved Summary of Product Characteristics (SmPC), participants were required to take 0.5 milligram (mg) orally once daily for the first 3 days and titrate up to 0.5 mg twice daily for days 4-7. From Day 8 to the end of treatment, participants should have taken 1 mg twice daily. Participants who cannot tolerate adverse effects of Champix could have the dose lowered temporarily or permanently to 0.5 mg twice daily. Participants were to be treated for 12 weeks, at which time a maintenance period of 12 weeks could be prescribed. Treatment was to start 1-2 weeks prior to quitting smoking.",101145095.0
317109291,NCT00669240,OG000,Outcome,Varenicline,"According to the approved Summary of Product Characteristics (SmPC), participants were required to take 0.5 milligram (mg) orally once daily for the first 3 days and titrate up to 0.5 mg twice daily for days 4-7. From Day 8 to the end of treatment, participants should have taken 1 mg twice daily. Participants who cannot tolerate adverse effects of Champix could have the dose lowered temporarily or permanently to 0.5 mg twice daily. Participants were to be treated for 12 weeks, at which time a maintenance period of 12 weeks could be prescribed. Treatment was to start 1-2 weeks prior to quitting smoking.",101145096.0
316714862,NCT02825251,OG000,Outcome,Faster Aspart,The subjects received faster aspart (basal-bolus regimen) by CSII for 16 weeks. Doses of basal and bolus insulin and timing of bolus dose were individually adjusted and thus no maximum dose of insulin was specified. Basal rate insulin adjustment: The purpose of adjusting the basal rates was to ensure that BG was kept between 4.0-6.0 mmol/L \[71-108 mg/dL\] while in a fasting state and during the night. Bolus insulin titration: It was recommended that meal-time bolus insulin was titrated based on carbohydrate-counting using the Bolus Wizard® according to their usual practice and according to instructions from the investigator. Meal-time dosing was defined as bolus infusion initiated 0-2 minutes before a meal.,101028158.0
317109292,NCT00669240,OG000,Outcome,Varenicline,"According to the approved Summary of Product Characteristics (SmPC), participants were required to take 0.5 milligram (mg) orally once daily for the first 3 days and titrate up to 0.5 mg twice daily for days 4-7. From Day 8 to the end of treatment, participants should have taken 1 mg twice daily. Participants who cannot tolerate adverse effects of Champix could have the dose lowered temporarily or permanently to 0.5 mg twice daily. Participants were to be treated for 12 weeks, at which time a maintenance period of 12 weeks could be prescribed. Treatment was to start 1-2 weeks prior to quitting smoking.",101145097.0
317109293,NCT00669240,OG000,Outcome,Varenicline,"According to the approved Summary of Product Characteristics (SmPC), participants were required to take 0.5 milligram (mg) orally once daily for the first 3 days and titrate up to 0.5 mg twice daily for days 4-7. From Day 8 to the end of treatment, participants should have taken 1 mg twice daily. Participants who cannot tolerate adverse effects of Champix could have the dose lowered temporarily or permanently to 0.5 mg twice daily. Participants were to be treated for 12 weeks, at which time a maintenance period of 12 weeks could be prescribed. Treatment was to start 1-2 weeks prior to quitting smoking.",101145098.0
315928734,NCT01525615,OG001,Outcome,Tio+Olo 2.5 / 5.0 µg,"Oral inhalation of fixed dose combination (FDC) of Tiotropium 2.5 μg and Olodaterol 5 μg (Tiotropium: 1.25 μg per actuation and Olodaterol: 2.5 μg per actuation), 2 puffs from the RESPIMAT inhaler, once daily, in the morning.",100789317.0
317505563,NCT05119595,OG000,Outcome,Observational Study Group,All patients that were included in the study received treatment with the investigational device according to site's clinical routine.,101265254.0
315928735,NCT01525615,OG002,Outcome,Tio+Olo 5.0 / 5.0 µg,"Oral inhalation of FDC of Tiotropium 5 μg and Olodaterol 5 μg (Tiotropium and Olodaterol: 2.5 μg per actuation), 2 puffs from the RESPIMAT inhaler, once daily, in the morning.",100789317.0
315928736,NCT01525615,OG000,Outcome,Placebo,"once daily 2 puffs, solution for inhalation Respimat

placebo to tiotropium+olodaterol: comparator",100789318.0
315928737,NCT01525615,OG001,Outcome,Tio+Olo 2.5 / 5.0 µg,"Oral inhalation of fixed dose combination (FDC) of Tiotropium 2.5 μg and Olodaterol 5 μg (Tiotropium: 1.25 μg per actuation and Olodaterol: 2.5 μg per actuation), 2 puffs from the RESPIMAT inhaler, once daily, in the morning.",100789318.0
315928738,NCT01525615,OG002,Outcome,Tio+Olo 5.0 / 5.0 µg,"Oral inhalation of FDC of Tiotropium 5 μg and Olodaterol 5 μg (Tiotropium and Olodaterol: 2.5 μg per actuation), 2 puffs from the RESPIMAT inhaler, once daily, in the morning.",100789318.0
317505564,NCT05119595,OG000,Outcome,Observational Study Group,All patients that were included in the study received treatment with the investigational device according to site's clinical routine.,101265255.0
315928739,NCT01525615,OG000,Outcome,Placebo,"once daily 2 puffs, solution for inhalation Respimat

placebo to tiotropium+olodaterol: comparator",100789319.0
315928740,NCT01525615,OG001,Outcome,Tio+Olo 2.5 / 5.0 µg,"Oral inhalation of fixed dose combination (FDC) of Tiotropium 2.5 μg and Olodaterol 5 μg (Tiotropium: 1.25 μg per actuation and Olodaterol: 2.5 μg per actuation), 2 puffs from the RESPIMAT inhaler, once daily, in the morning.",100789319.0
317109294,NCT00669240,OG000,Outcome,Varenicline,"According to the approved Summary of Product Characteristics (SmPC), participants were required to take 0.5 milligram (mg) orally once daily for the first 3 days and titrate up to 0.5 mg twice daily for days 4-7. From Day 8 to the end of treatment, participants should have taken 1 mg twice daily. Participants who cannot tolerate adverse effects of Champix could have the dose lowered temporarily or permanently to 0.5 mg twice daily. Participants were to be treated for 12 weeks, at which time a maintenance period of 12 weeks could be prescribed. Treatment was to start 1-2 weeks prior to quitting smoking.",101145099.0
317109295,NCT00669240,OG000,Outcome,Varenicline,"According to the approved Summary of Product Characteristics (SmPC), participants were required to take 0.5 milligram (mg) orally once daily for the first 3 days and titrate up to 0.5 mg twice daily for days 4-7. From Day 8 to the end of treatment, participants should have taken 1 mg twice daily. Participants who cannot tolerate adverse effects of Champix could have the dose lowered temporarily or permanently to 0.5 mg twice daily. Participants were to be treated for 12 weeks, at which time a maintenance period of 12 weeks could be prescribed. Treatment was to start 1-2 weeks prior to quitting smoking.",101145100.0
317109296,NCT00669240,OG000,Outcome,Varenicline,"According to the approved Summary of Product Characteristics (SmPC), participants were required to take 0.5 milligram (mg) orally once daily for the first 3 days and titrate up to 0.5 mg twice daily for days 4-7. From Day 8 to the end of treatment, participants should have taken 1 mg twice daily. Participants who cannot tolerate adverse effects of Champix could have the dose lowered temporarily or permanently to 0.5 mg twice daily. Participants were to be treated for 12 weeks, at which time a maintenance period of 12 weeks could be prescribed. Treatment was to start 1-2 weeks prior to quitting smoking.",101145101.0
317109297,NCT01673373,OG000,Outcome,iCAST™ RX Stent System,"All enrolled subjects, defined as patients that underwent primary stenting of the target lesion(s) by placement of the iCAST™ RX Stent System.",101145102.0
317109298,NCT01673373,OG000,Outcome,iCAST™ RX Stent System,"All enrolled subjects, defined as patients that underwent primary stenting of the target lesion(s) by placement of the iCAST™ RX Stent System.",101145103.0
317109299,NCT01673373,OG000,Outcome,iCAST™ RX Stent System,"All enrolled subjects, defined as patients that underwent primary stenting of the target lesion(s) by placement of the iCAST™ RX Stent System.",101145104.0
317109300,NCT01673373,OG000,Outcome,iCAST™ RX Stent System,"All enrolled subjects, defined as patients that underwent primary stenting of the target lesion(s) by placement of the iCAST™ RX Stent System.",101145105.0
317109301,NCT01673373,OG000,Outcome,iCAST™ RX Stent System,"All enrolled subjects, defined as patients that underwent primary stenting of the target lesion(s) by placement of the iCAST™ RX Stent System.",101145106.0
317109302,NCT01673373,OG000,Outcome,iCAST™ RX Stent System,"All enrolled subjects, defined as patients that underwent primary stenting of the target lesion(s) by placement of the iCAST™ RX Stent System.",101145107.0
317109303,NCT01673373,OG000,Outcome,iCAST™ RX Stent System,"All enrolled subjects, defined as patients that underwent primary stenting of the target lesion(s) by placement of the iCAST™ RX Stent System.",101145108.0
317109304,NCT01673373,OG000,Outcome,iCAST™ RX Stent System,"All enrolled subjects, defined as patients that underwent primary stenting of the target lesion(s) by placement of the iCAST™ RX Stent System.",101145109.0
317109305,NCT01673373,OG000,Outcome,iCAST™ RX Stent System,"All enrolled subjects, defined as patients that underwent primary stenting of the target lesion(s) by placement of the iCAST™ RX Stent System.",101145110.0
317109306,NCT01673373,OG000,Outcome,iCAST™ RX Stent System,"All enrolled subjects, defined as patients that underwent primary stenting of the target lesion(s) by placement of the iCAST™ RX Stent System.",101145111.0
317109307,NCT01673373,OG000,Outcome,iCAST™ RX Stent System,"All enrolled subjects, defined as patients that underwent primary stenting of the target lesion(s) by placement of the iCAST™ RX Stent System.",101145112.0
317109308,NCT01673373,OG000,Outcome,iCAST™ RX Stent System,"All enrolled subjects, defined as patients that underwent primary stenting of the target lesion(s) by placement of the iCAST™ RX Stent System.",101145113.0
317109309,NCT01673373,OG000,Outcome,iCAST™ RX Stent System,"All enrolled subjects, defined as patients that underwent primary stenting of the target lesion(s) by placement of the iCAST™ RX Stent System.",101145114.0
317109310,NCT02583399,OG000,Outcome,Ibuprofen,"Ibuprofen, 10 mg/kg

Ibuprofen: Ibuprofen, 10 mg/kg",101145115.0
317109311,NCT02583399,OG000,Outcome,Ibuprofen,"Ibuprofen, 10 mg/kg

Ibuprofen: Ibuprofen, 10 mg/kg",101145116.0
317109312,NCT02583399,OG000,Outcome,Ibuprofen,"Ibuprofen, 10 mg/kg

Ibuprofen: Ibuprofen, 10 mg/kg",101145117.0
317109313,NCT02583399,OG000,Outcome,Ibuprofen,"Ibuprofen, 10 mg/kg

Ibuprofen: Ibuprofen, 10 mg/kg",101145118.0
317109314,NCT00003389,OG000,Outcome,Arm A (ABVD),"Arm A (ABVD): Patients receive doxorubicin (25 mg/m²), bleomycin (10 u/m²), vinblastine (6 mg/m²), and dacarbazine (375 mg/m²) intravenously (IV) on days 1 and 15. Courses repeat every 28 days. Patients are restaged after 4 courses. Patients who are in complete remission receive 2 additional courses. Patients with a partial response or less are evaluated after 6 courses, and if there is an ongoing response, patients may receive 2 additional courses for a total of 8. If no ongoing response is observed, patients are removed from the study. All patients with massive mediastinal disease, regardless of stage, receive radiotherapy 2-3 weeks after completion of chemotherapy.",101145119.0
317109315,NCT00003389,OG001,Outcome,Arm B (Stanford V),"Arm B (Stanford V): Patients receive Stanford V chemotherapy comprising doxorubicin (25 mg/m²) and vinblastine (6 mg/m²) IV on day 1 of weeks 1, 3, 5, 7, 9, and 11; vincristine (1.4 mg/m²) and bleomycin (5 u/m²) IV on day 1 of weeks 2, 4, 6, 8, 10, and 12; mechlorethamine (6 mg/m²) IV on day 1 of weeks 1, 5, and 9 (if mechlorethamine is unavailable, may substitute with cyclophosphamide \[375 mg/m²\] IV); etoposide (60 mg/m²) IV on days 1 and 2 of weeks 3, 7, and 11; and oral prednisone (40 mg/m²) every other day of weeks 1-9 followed by a taper. All patients with bulky disease receive radiotherapy 2-3 weeks after completion of chemotherapy.",101145119.0
317109316,NCT00003389,OG000,Outcome,Arm A (ABVD),"Arm A (ABVD): Patients receive doxorubicin (25 mg/m²), bleomycin (10 u/m²), vinblastine (6 mg/m²), and dacarbazine (375 mg/m²) intravenously (IV) on days 1 and 15. Courses repeat every 28 days. Patients are restaged after 4 courses. Patients who are in complete remission receive 2 additional courses. Patients with a partial response or less are evaluated after 6 courses, and if there is an ongoing response, patients may receive 2 additional courses for a total of 8. If no ongoing response is observed, patients are removed from the study. All patients with massive mediastinal disease, regardless of stage, receive radiotherapy 2-3 weeks after completion of chemotherapy.",101145120.0
317505565,NCT05119595,OG000,Outcome,Observational Study Group,All patients that were included in the study received treatment with the investigational device according to site's clinical routine.,101265256.0
317109317,NCT00003389,OG001,Outcome,Arm B (Stanford V),"Arm B (Stanford V): Patients receive Stanford V chemotherapy comprising doxorubicin (25 mg/m²) and vinblastine (6 mg/m²) IV on day 1 of weeks 1, 3, 5, 7, 9, and 11; vincristine (1.4 mg/m²) and bleomycin (5 u/m²) IV on day 1 of weeks 2, 4, 6, 8, 10, and 12; mechlorethamine (6 mg/m²) IV on day 1 of weeks 1, 5, and 9 (if mechlorethamine is unavailable, may substitute with cyclophosphamide \[375 mg/m²\] IV); etoposide (60 mg/m²) IV on days 1 and 2 of weeks 3, 7, and 11; and oral prednisone (40 mg/m²) every other day of weeks 1-9 followed by a taper. All patients with bulky disease receive radiotherapy 2-3 weeks after completion of chemotherapy.",101145120.0
317109318,NCT00003389,OG000,Outcome,Arm A (ABVD),"Arm A (ABVD): Patients receive doxorubicin (25 mg/m²), bleomycin (10 u/m²), vinblastine (6 mg/m²), and dacarbazine (375 mg/m²) intravenously (IV) on days 1 and 15. Courses repeat every 28 days. Patients are restaged after 4 courses. Patients who are in complete remission receive 2 additional courses. Patients with a partial response or less are evaluated after 6 courses, and if there is an ongoing response, patients may receive 2 additional courses for a total of 8. If no ongoing response is observed, patients are removed from the study. All patients with massive mediastinal disease, regardless of stage, receive radiotherapy 2-3 weeks after completion of chemotherapy.",101145121.0
317109319,NCT00003389,OG001,Outcome,Arm B (Stanford V),"Arm B (Stanford V): Patients receive Stanford V chemotherapy comprising doxorubicin (25 mg/m²) and vinblastine (6 mg/m²) IV on day 1 of weeks 1, 3, 5, 7, 9, and 11; vincristine (1.4 mg/m²) and bleomycin (5 u/m²) IV on day 1 of weeks 2, 4, 6, 8, 10, and 12; mechlorethamine (6 mg/m²) IV on day 1 of weeks 1, 5, and 9 (if mechlorethamine is unavailable, may substitute with cyclophosphamide \[375 mg/m²\] IV); etoposide (60 mg/m²) IV on days 1 and 2 of weeks 3, 7, and 11; and oral prednisone (40 mg/m²) every other day of weeks 1-9 followed by a taper. All patients with bulky disease receive radiotherapy 2-3 weeks after completion of chemotherapy.",101145121.0
317109320,NCT02554721,OG000,Outcome,Acetylsalicylic Acid - Cilostazol,Participants with normal CYP2C19 activity (EM) (Group 1) who received ASA 100 mg QD for 7 consecutive days from Day 15 to Day 21 (Period C) went on to receive cilostazol 100 mg BID as an add-on therapy to ASA 100 mg QD for 7 consecutive days from Day 22 to Day 28 or Day 29 to Day 35 (Period D).,101145122.0
317109321,NCT02554721,OG001,Outcome,Clopidogrel - Cilostazol,"Participants with EM, IM, and PM CYP2C19 activity (Groups 2-4, respectively) who received clopidogrel 75 mg QD for 7 consecutive days from Day 15 to Day 21 (Period C) went on to receive cilostazol 100 mg BID as an add-on therapy to clopidogrel 75 mg QD for 7 consecutive days from Day 22 to Day 28 or Day 29 to Day 35 (Period D).",101145122.0
317109322,NCT02554721,OG000,Outcome,Acetylsalicylic Acid - Cilostazol,Participants with normal CYP2C19 activity (EM) (Group 1) who received ASA 100 mg QD for 7 consecutive days from Day 15 to Day 21 (Period C) went on to receive cilostazol 100 mg BID as an add-on therapy to ASA 100 mg QD for 7 consecutive days from Day 22 to Day 28 or Day 29 to Day 35 (Period D).,101145123.0
317109323,NCT02554721,OG001,Outcome,Clopidogrel - Cilostazol,"Participants with EM, IM, and PM CYP2C19 activity (Groups 2-4, respectively) who received clopidogrel 75 mg QD for 7 consecutive days from Day 15 to Day 21 (Period C) went on to receive cilostazol 100 mg BID as an add-on therapy to clopidogrel 75 mg QD for 7 consecutive days from Day 22 to Day 28 or Day 29 to Day 35 (Period D).",101145123.0
317109324,NCT03276494,OG000,Outcome,Intraosseous,"Administration of intraosseous hypertonic saline

Intraosseous: Intraosseous administration of hypertonic saline

Hypertonic saline: Intraosseous administration of hypertonic saline",101145124.0
317109325,NCT03276494,OG000,Outcome,Intraosseous,"Administration of intraosseous hypertonic saline

Intraosseous: Intraosseous administration of hypertonic saline

Hypertonic saline: Intraosseous administration of hypertonic saline",101145125.0
317109326,NCT04610827,OG000,Outcome,Ferrous Sulfate Daily,"Subject will take 3 mg/kg oral iron in the morning

Ferrous sulfate: Guideline-recommended 3 mg/kg/day dosing",101145126.0
317109327,NCT04610827,OG001,Outcome,Ferrous Sulfate Twice Daily,"Subjects will take 1.5 mg/kg oral iron twice daily

Ferrous sulfate: Guideline-recommended 3 mg/kg/day dosing",101145126.0
317505566,NCT05119595,OG000,Outcome,Observational Study Group,All patients that were included in the study received treatment with the investigational device according to site's clinical routine.,101265257.0
317505567,NCT05119595,OG000,Outcome,Observational Study Group,All patients that were included in the study received treatment with the investigational device according to site's clinical routine.,101265258.0
317505568,NCT03503370,OG000,Outcome,Chlorhexidine,"Participants randomized to the intervention will wash their feet using 2% CHLORHEXIDINE GLUCONATE CLOTHS to wipe down their feet each day and then apply supplied chlorhexidine-compatible over-the-counter moisturizer.

Chlorhexidine: Participants randomized to the intervention will wash their feet using 2% CHLORHEXIDINE GLUCONATE CLOTHS to wipe down their feet each day and then apply supplied chlorhexidine-compatible over-the-counter moisturizer.",101265259.0
317109328,NCT04610827,OG002,Outcome,Ferrous Sulfate Every Other Day,"6 mg/kg oral iron every other day in the morning

Ferrous sulfate: Guideline-recommended 3 mg/kg/day dosing",101145126.0
317109329,NCT04610827,OG000,Outcome,Ferrous Sulfate Daily,"Subject will take 3 mg/kg oral iron in the morning

Ferrous sulfate: Guideline-recommended 3 mg/kg/day dosing",101145127.0
317109330,NCT04610827,OG001,Outcome,Ferrous Sulfate Twice Daily,"Subjects will take 1.5 mg/kg oral iron twice daily

Ferrous sulfate: Guideline-recommended 3 mg/kg/day dosing",101145127.0
317109331,NCT04610827,OG002,Outcome,Ferrous Sulfate Every Other Day,"6 mg/kg oral iron every other day in the morning

Ferrous sulfate: Guideline-recommended 3 mg/kg/day dosing",101145127.0
317109332,NCT01888965,OG000,Outcome,Dovitinib,"Dovitinib 500 mg orally daily for 5 days followed by 2 days off (7 day cycles) for up to 2 years

Dovitinib: All patients in the study will receive Dovitinib, 500 mg orally daily for 5 days followed by 2 days off (7 day cycles) for up to 2 years.",101145128.0
317505569,NCT03503370,OG001,Outcome,Placebo,"Participants randomized to the placebo will wash their feet using COMFORT BATH CLOTHS to wipe down their feet each day and then apply supplied chlorhexidine-compatible over-the-counter moisturizer.

Placebo: Participants randomized to the placebo will wash their feet using COMFORT BATH CLOTHS to wipe down their feet each day and then apply supplied chlorhexidine-compatible over-the-counter moisturizer.",101265259.0
317505570,NCT03503370,OG000,Outcome,Chlorhexidine,"Participants randomized to the intervention will wash their feet using 2% CHLORHEXIDINE GLUCONATE CLOTHS to wipe down their feet each day and then apply supplied chlorhexidine-compatible over-the-counter moisturizer.

Chlorhexidine: Participants randomized to the intervention will wash their feet using 2% CHLORHEXIDINE GLUCONATE CLOTHS to wipe down their feet each day and then apply supplied chlorhexidine-compatible over-the-counter moisturizer.",101265260.0
