id,nct_id,outcome_id,result_group_id,ctgov_group_code,classification,category,title,description,units,param_type,param_value,param_value_num,dispersion_type,dispersion_value,dispersion_value_num,dispersion_lower_limit,dispersion_upper_limit,explanation_of_na,dispersion_upper_limit_raw,dispersion_lower_limit_raw
756409369,NCT02247440,101267413,317512476,OG000,Week 28 to Week 32,PegINF injected,Number of Participants Able to Perform Self-injections of Peg-interferon,Number of participants able to perform self-injections of peg-interferon.,Participants,COUNT_OF_PARTICIPANTS,13,13.0,,,,,,,,
756409370,NCT02247440,101267413,317512476,OG000,Week 28 to Week 32,PegINF not injected,Number of Participants Able to Perform Self-injections of Peg-interferon,Number of participants able to perform self-injections of peg-interferon.,Participants,COUNT_OF_PARTICIPANTS,1,1.0,,,,,,,,
756409371,NCT02247440,101267413,317512476,OG000,Week 32 to Week 48,PegINF injected,Number of Participants Able to Perform Self-injections of Peg-interferon,Number of participants able to perform self-injections of peg-interferon.,Participants,COUNT_OF_PARTICIPANTS,14,14.0,,,,,,,,
755493753,NCT04323098,101140572,317093880,OG000,,,"Change From Baseline in Haemo-QoL-A Quality of Life: Consequences of Bleeding Domain Score, at Week 52","The change from baseline(assuming no treatment for severe hemophilia A)in Haemo-Qol-A score, at week 52 post-BMN 270 infusion. The Haemo-Qol-A questionnaire is a fit for purpose hemophilia-specific health related quality of life(HRQoL)questionnaire for adults consisting of 41 items covering 6 domains(Physical Functioning,Role Functioning,Worry,Consequences of Bleeding,Emotional Impact and Treatment Concerns). The Haemo-Qol-A items are answered on a 6-point Likert scale ranging from 0(none of the time) to 5(all of the time). The recall period for the Haemo-Qol-A is one month (4-wks).

The Haemo-Qol-A consequences of bleeding domain score is an average of each item value within a domain. The range of domain scores is 0 to 5; higher scores mean better HRQoL or less impairment for the domain. The consequences of bleeding domain score is transformed to a 0 (minimum) to 100 (maximum) scale with higher scores indicating a better or less impaired haemophilia-related consequences of bleeding.",score on a scale,MEAN,10.68,10.68,Standard Deviation,16.33,16.33,,,,,
753204146,NCT01948193,100832002,316074744,OG000,"Anti-Diphtheria; Post-dose 3, ≥1.0 (N=135)",,Percentage of Participants With Seroprotection Before and After Vaccinations With Sanofi Pasteur's DTaP-IPV-HB-PRP-T Combined Vaccine Following a Documented Dose of a Commercial Oral Poliovirus Vaccine and Recombinant Hep B Monovalent Vaccine at Birth,"Diphtheria antibodies were measured by a toxin neutralization test, tetanus antibodies by an enzyme-linked immunosorbent assay (ELISA), Haemophilus influenzae type b polysaccharide (PRP) antibodies by Farr type radioimmunoassay, poliovirus 1, 2, and 3 antibodies by a neutralization assay, and Hepatitis B (Hep B) antibodies were measured by VITROS ECi/ECiQ Immunodiagnostic System.

Description of seroprotection: Diphtheria and Tetanus antibody concentrations ≥0.01 International Units (IU)/mL; Poliovirus 1, 2, and 3 titers ≥8 (1/dilution); Hep B concentrations ≥10 mIU/mL, and PRP ≥0.15 µg/mL.",Percentage of participants,NUMBER,5.2,5.2,,,,,,,,
753204147,NCT01948193,100832002,316074744,OG000,"Anti-Tetanus; Post-dose 3, ≥0.01 (N=134)",,Percentage of Participants With Seroprotection Before and After Vaccinations With Sanofi Pasteur's DTaP-IPV-HB-PRP-T Combined Vaccine Following a Documented Dose of a Commercial Oral Poliovirus Vaccine and Recombinant Hep B Monovalent Vaccine at Birth,"Diphtheria antibodies were measured by a toxin neutralization test, tetanus antibodies by an enzyme-linked immunosorbent assay (ELISA), Haemophilus influenzae type b polysaccharide (PRP) antibodies by Farr type radioimmunoassay, poliovirus 1, 2, and 3 antibodies by a neutralization assay, and Hepatitis B (Hep B) antibodies were measured by VITROS ECi/ECiQ Immunodiagnostic System.

Description of seroprotection: Diphtheria and Tetanus antibody concentrations ≥0.01 International Units (IU)/mL; Poliovirus 1, 2, and 3 titers ≥8 (1/dilution); Hep B concentrations ≥10 mIU/mL, and PRP ≥0.15 µg/mL.",Percentage of participants,NUMBER,100.0,100.0,,,,,,,,
753204148,NCT01948193,100832002,316074744,OG000,"Anti-Tetanus; Post-dose 3, ≥0.1 (N=134)",,Percentage of Participants With Seroprotection Before and After Vaccinations With Sanofi Pasteur's DTaP-IPV-HB-PRP-T Combined Vaccine Following a Documented Dose of a Commercial Oral Poliovirus Vaccine and Recombinant Hep B Monovalent Vaccine at Birth,"Diphtheria antibodies were measured by a toxin neutralization test, tetanus antibodies by an enzyme-linked immunosorbent assay (ELISA), Haemophilus influenzae type b polysaccharide (PRP) antibodies by Farr type radioimmunoassay, poliovirus 1, 2, and 3 antibodies by a neutralization assay, and Hepatitis B (Hep B) antibodies were measured by VITROS ECi/ECiQ Immunodiagnostic System.

Description of seroprotection: Diphtheria and Tetanus antibody concentrations ≥0.01 International Units (IU)/mL; Poliovirus 1, 2, and 3 titers ≥8 (1/dilution); Hep B concentrations ≥10 mIU/mL, and PRP ≥0.15 µg/mL.",Percentage of participants,NUMBER,100.0,100.0,,,,,,,,
753204149,NCT01948193,100832002,316074744,OG000,"Anti-Tetanus; Post-dose 3, ≥1.0 (N=134)",,Percentage of Participants With Seroprotection Before and After Vaccinations With Sanofi Pasteur's DTaP-IPV-HB-PRP-T Combined Vaccine Following a Documented Dose of a Commercial Oral Poliovirus Vaccine and Recombinant Hep B Monovalent Vaccine at Birth,"Diphtheria antibodies were measured by a toxin neutralization test, tetanus antibodies by an enzyme-linked immunosorbent assay (ELISA), Haemophilus influenzae type b polysaccharide (PRP) antibodies by Farr type radioimmunoassay, poliovirus 1, 2, and 3 antibodies by a neutralization assay, and Hepatitis B (Hep B) antibodies were measured by VITROS ECi/ECiQ Immunodiagnostic System.

Description of seroprotection: Diphtheria and Tetanus antibody concentrations ≥0.01 International Units (IU)/mL; Poliovirus 1, 2, and 3 titers ≥8 (1/dilution); Hep B concentrations ≥10 mIU/mL, and PRP ≥0.15 µg/mL.",Percentage of participants,NUMBER,84.3,84.3,,,,,,,,
753204150,NCT01948193,100832002,316074744,OG000,Anti-Polio 1; Post-dose 3 (N=145),,Percentage of Participants With Seroprotection Before and After Vaccinations With Sanofi Pasteur's DTaP-IPV-HB-PRP-T Combined Vaccine Following a Documented Dose of a Commercial Oral Poliovirus Vaccine and Recombinant Hep B Monovalent Vaccine at Birth,"Diphtheria antibodies were measured by a toxin neutralization test, tetanus antibodies by an enzyme-linked immunosorbent assay (ELISA), Haemophilus influenzae type b polysaccharide (PRP) antibodies by Farr type radioimmunoassay, poliovirus 1, 2, and 3 antibodies by a neutralization assay, and Hepatitis B (Hep B) antibodies were measured by VITROS ECi/ECiQ Immunodiagnostic System.

Description of seroprotection: Diphtheria and Tetanus antibody concentrations ≥0.01 International Units (IU)/mL; Poliovirus 1, 2, and 3 titers ≥8 (1/dilution); Hep B concentrations ≥10 mIU/mL, and PRP ≥0.15 µg/mL.",Percentage of participants,NUMBER,100.0,100.0,,,,,,,,
753204151,NCT01948193,100832002,316074744,OG000,Anti-Polio 2; Post-dose 3 (N=146),,Percentage of Participants With Seroprotection Before and After Vaccinations With Sanofi Pasteur's DTaP-IPV-HB-PRP-T Combined Vaccine Following a Documented Dose of a Commercial Oral Poliovirus Vaccine and Recombinant Hep B Monovalent Vaccine at Birth,"Diphtheria antibodies were measured by a toxin neutralization test, tetanus antibodies by an enzyme-linked immunosorbent assay (ELISA), Haemophilus influenzae type b polysaccharide (PRP) antibodies by Farr type radioimmunoassay, poliovirus 1, 2, and 3 antibodies by a neutralization assay, and Hepatitis B (Hep B) antibodies were measured by VITROS ECi/ECiQ Immunodiagnostic System.

Description of seroprotection: Diphtheria and Tetanus antibody concentrations ≥0.01 International Units (IU)/mL; Poliovirus 1, 2, and 3 titers ≥8 (1/dilution); Hep B concentrations ≥10 mIU/mL, and PRP ≥0.15 µg/mL.",Percentage of participants,NUMBER,100.0,100.0,,,,,,,,
755493552,NCT01766986,101140518,317093758,OG002,,,Overall Survival,Overall survival after surgery (months),participants,NUMBER,13,13.0,,,,,,,,
756409372,NCT02247440,101267413,317512476,OG000,Week 32 to Week 48,PegINF not injected,Number of Participants Able to Perform Self-injections of Peg-interferon,Number of participants able to perform self-injections of peg-interferon.,Participants,COUNT_OF_PARTICIPANTS,0,0.0,,,,,,,,
756409373,NCT02247440,101267414,317512477,OG000,Week 0 to Week 2,Compliance < 80%,"Number of Participants With Ribavirin Compliance at ≥ 95%, 80% - 95%, and < 80%","Number of participants with ribavirin compliance at ≥ 95%, 80% - 95%, and \< 80%.",Participants,COUNT_OF_PARTICIPANTS,0,0.0,,,,,,,,
755493553,NCT01250899,101140521,317093761,OG000,,,Success Rate in Achieving a 25(OH)D Level ≥30ng/mL After 12 Weeks of Oral Vitamin D Supplementation.,Percentage of participants successfully repleted to 25(OH)D ≥30ng/mL after 12 weeks of oral vitamin D supplementation.,percentage of participants,NUMBER,81,81.0,95% Confidence Interval,,,70.0,88.0,,88,70
756409374,NCT02247440,101267414,317512477,OG000,Week 0 to Week 2,Compliance 80% - 95%,"Number of Participants With Ribavirin Compliance at ≥ 95%, 80% - 95%, and < 80%","Number of participants with ribavirin compliance at ≥ 95%, 80% - 95%, and \< 80%.",Participants,COUNT_OF_PARTICIPANTS,2,2.0,,,,,,,,
753204152,NCT01948193,100832002,316074744,OG000,Anti-Polio 3; Post-dose 3 (N=144),,Percentage of Participants With Seroprotection Before and After Vaccinations With Sanofi Pasteur's DTaP-IPV-HB-PRP-T Combined Vaccine Following a Documented Dose of a Commercial Oral Poliovirus Vaccine and Recombinant Hep B Monovalent Vaccine at Birth,"Diphtheria antibodies were measured by a toxin neutralization test, tetanus antibodies by an enzyme-linked immunosorbent assay (ELISA), Haemophilus influenzae type b polysaccharide (PRP) antibodies by Farr type radioimmunoassay, poliovirus 1, 2, and 3 antibodies by a neutralization assay, and Hepatitis B (Hep B) antibodies were measured by VITROS ECi/ECiQ Immunodiagnostic System.

Description of seroprotection: Diphtheria and Tetanus antibody concentrations ≥0.01 International Units (IU)/mL; Poliovirus 1, 2, and 3 titers ≥8 (1/dilution); Hep B concentrations ≥10 mIU/mL, and PRP ≥0.15 µg/mL.",Percentage of participants,NUMBER,100.0,100.0,,,,,,,,
753204153,NCT01948193,100832002,316074744,OG000,"Anti-Hep B; Pre-dose 1, ≥10 (N=152)",,Percentage of Participants With Seroprotection Before and After Vaccinations With Sanofi Pasteur's DTaP-IPV-HB-PRP-T Combined Vaccine Following a Documented Dose of a Commercial Oral Poliovirus Vaccine and Recombinant Hep B Monovalent Vaccine at Birth,"Diphtheria antibodies were measured by a toxin neutralization test, tetanus antibodies by an enzyme-linked immunosorbent assay (ELISA), Haemophilus influenzae type b polysaccharide (PRP) antibodies by Farr type radioimmunoassay, poliovirus 1, 2, and 3 antibodies by a neutralization assay, and Hepatitis B (Hep B) antibodies were measured by VITROS ECi/ECiQ Immunodiagnostic System.

Description of seroprotection: Diphtheria and Tetanus antibody concentrations ≥0.01 International Units (IU)/mL; Poliovirus 1, 2, and 3 titers ≥8 (1/dilution); Hep B concentrations ≥10 mIU/mL, and PRP ≥0.15 µg/mL.",Percentage of participants,NUMBER,13.2,13.2,,,,,,,,
753204154,NCT01948193,100832002,316074744,OG000,"Anti-Hep B; Post-dose 3, ≥10 (N=152)",,Percentage of Participants With Seroprotection Before and After Vaccinations With Sanofi Pasteur's DTaP-IPV-HB-PRP-T Combined Vaccine Following a Documented Dose of a Commercial Oral Poliovirus Vaccine and Recombinant Hep B Monovalent Vaccine at Birth,"Diphtheria antibodies were measured by a toxin neutralization test, tetanus antibodies by an enzyme-linked immunosorbent assay (ELISA), Haemophilus influenzae type b polysaccharide (PRP) antibodies by Farr type radioimmunoassay, poliovirus 1, 2, and 3 antibodies by a neutralization assay, and Hepatitis B (Hep B) antibodies were measured by VITROS ECi/ECiQ Immunodiagnostic System.

Description of seroprotection: Diphtheria and Tetanus antibody concentrations ≥0.01 International Units (IU)/mL; Poliovirus 1, 2, and 3 titers ≥8 (1/dilution); Hep B concentrations ≥10 mIU/mL, and PRP ≥0.15 µg/mL.",Percentage of participants,NUMBER,100.0,100.0,,,,,,,,
753204155,NCT01948193,100832002,316074744,OG000,"Anti-Hep B; Post-dose 3, ≥100 (N=152)",,Percentage of Participants With Seroprotection Before and After Vaccinations With Sanofi Pasteur's DTaP-IPV-HB-PRP-T Combined Vaccine Following a Documented Dose of a Commercial Oral Poliovirus Vaccine and Recombinant Hep B Monovalent Vaccine at Birth,"Diphtheria antibodies were measured by a toxin neutralization test, tetanus antibodies by an enzyme-linked immunosorbent assay (ELISA), Haemophilus influenzae type b polysaccharide (PRP) antibodies by Farr type radioimmunoassay, poliovirus 1, 2, and 3 antibodies by a neutralization assay, and Hepatitis B (Hep B) antibodies were measured by VITROS ECi/ECiQ Immunodiagnostic System.

Description of seroprotection: Diphtheria and Tetanus antibody concentrations ≥0.01 International Units (IU)/mL; Poliovirus 1, 2, and 3 titers ≥8 (1/dilution); Hep B concentrations ≥10 mIU/mL, and PRP ≥0.15 µg/mL.",Percentage of participants,NUMBER,99.3,99.3,,,,,,,,
754560946,NCT00296504,101011897,316663123,OG000,"HDL Chol.; W 204, n=73, 10, 113, 23, 20, 26, 61,40",,"Change From Baseline in the Indicated Clinical Chemistry Parameters at Weeks 48, 96, 120, 132, 168, 180, 204, and 216","Fasting blood samples of participants were collected for the assessment of triglycerides (Tri.), cholesterol (Chol.), high density cholesterol (HDL), low density cholesterol (LDL), and fasting blood glucose (FBG). Change from Baseline at Weeks (W) 48, 96, 120, 132, 168, 180, 204, and 216 was calculated as the value at that particular week minus the value at Baseline (Day 1).",milligrams per deciliter (mg/dl),MEDIAN,16,16.0,Inter-Quartile Range,,,8.0,26.0,,26,8
755493554,NCT03531762,101140522,317093762,OG000,,,Area Under the Plasma Concentration-Time Curve From Time Zero to Last Measurable Concentration (AUC0-t) of Tepotinib in Treatment A and Treatment C,Area under the plasma concentration versus time curve from time zero to the last sampling time t at which the concentration was at or above the lower limit of quantification (LLOQ). AUC0-t was to be calculated according to the mixed log-linear trapezoidal rule.,Hour*nanogram per milliliter (h*ng/mL),GEOMETRIC_MEAN,21722,21722.0,Geometric Coefficient of Variation,18.3,18.3,,,,,
756409375,NCT02247440,101267414,317512477,OG000,Week 0 to Week 2,Compliance ≥ 95%,"Number of Participants With Ribavirin Compliance at ≥ 95%, 80% - 95%, and < 80%","Number of participants with ribavirin compliance at ≥ 95%, 80% - 95%, and \< 80%.",Participants,COUNT_OF_PARTICIPANTS,15,15.0,,,,,,,,
756409376,NCT02247440,101267414,317512477,OG000,Week 2 to Week 4,Compliance < 80%,"Number of Participants With Ribavirin Compliance at ≥ 95%, 80% - 95%, and < 80%","Number of participants with ribavirin compliance at ≥ 95%, 80% - 95%, and \< 80%.",Participants,COUNT_OF_PARTICIPANTS,1,1.0,,,,,,,,
756409377,NCT02247440,101267414,317512477,OG000,Week 2 to Week 4,Compliance 80% - 95%,"Number of Participants With Ribavirin Compliance at ≥ 95%, 80% - 95%, and < 80%","Number of participants with ribavirin compliance at ≥ 95%, 80% - 95%, and \< 80%.",Participants,COUNT_OF_PARTICIPANTS,1,1.0,,,,,,,,
756409378,NCT02247440,101267414,317512477,OG000,Week 2 to Week 4,Compliance ≥ 95%,"Number of Participants With Ribavirin Compliance at ≥ 95%, 80% - 95%, and < 80%","Number of participants with ribavirin compliance at ≥ 95%, 80% - 95%, and \< 80%.",Participants,COUNT_OF_PARTICIPANTS,15,15.0,,,,,,,,
756409379,NCT02247440,101267414,317512477,OG000,Week 4 to Week 12,Compliance < 80%,"Number of Participants With Ribavirin Compliance at ≥ 95%, 80% - 95%, and < 80%","Number of participants with ribavirin compliance at ≥ 95%, 80% - 95%, and \< 80%.",Participants,COUNT_OF_PARTICIPANTS,0,0.0,,,,,,,,
756409380,NCT02247440,101267414,317512477,OG000,Week 4 to Week 12,Compliance 80% - 95%,"Number of Participants With Ribavirin Compliance at ≥ 95%, 80% - 95%, and < 80%","Number of participants with ribavirin compliance at ≥ 95%, 80% - 95%, and \< 80%.",Participants,COUNT_OF_PARTICIPANTS,0,0.0,,,,,,,,
753204156,NCT01948193,100832002,316074744,OG000,"Anti-PRP; Post-dose 3, ≥0.15 (N=156)",,Percentage of Participants With Seroprotection Before and After Vaccinations With Sanofi Pasteur's DTaP-IPV-HB-PRP-T Combined Vaccine Following a Documented Dose of a Commercial Oral Poliovirus Vaccine and Recombinant Hep B Monovalent Vaccine at Birth,"Diphtheria antibodies were measured by a toxin neutralization test, tetanus antibodies by an enzyme-linked immunosorbent assay (ELISA), Haemophilus influenzae type b polysaccharide (PRP) antibodies by Farr type radioimmunoassay, poliovirus 1, 2, and 3 antibodies by a neutralization assay, and Hepatitis B (Hep B) antibodies were measured by VITROS ECi/ECiQ Immunodiagnostic System.

Description of seroprotection: Diphtheria and Tetanus antibody concentrations ≥0.01 International Units (IU)/mL; Poliovirus 1, 2, and 3 titers ≥8 (1/dilution); Hep B concentrations ≥10 mIU/mL, and PRP ≥0.15 µg/mL.",Percentage of participants,NUMBER,100.0,100.0,,,,,,,,
753204157,NCT01948193,100832002,316074744,OG000,"Anti-PRP; Post-dose 3, ≥1.0 (N=156)",,Percentage of Participants With Seroprotection Before and After Vaccinations With Sanofi Pasteur's DTaP-IPV-HB-PRP-T Combined Vaccine Following a Documented Dose of a Commercial Oral Poliovirus Vaccine and Recombinant Hep B Monovalent Vaccine at Birth,"Diphtheria antibodies were measured by a toxin neutralization test, tetanus antibodies by an enzyme-linked immunosorbent assay (ELISA), Haemophilus influenzae type b polysaccharide (PRP) antibodies by Farr type radioimmunoassay, poliovirus 1, 2, and 3 antibodies by a neutralization assay, and Hepatitis B (Hep B) antibodies were measured by VITROS ECi/ECiQ Immunodiagnostic System.

Description of seroprotection: Diphtheria and Tetanus antibody concentrations ≥0.01 International Units (IU)/mL; Poliovirus 1, 2, and 3 titers ≥8 (1/dilution); Hep B concentrations ≥10 mIU/mL, and PRP ≥0.15 µg/mL.",Percentage of participants,NUMBER,93.6,93.6,,,,,,,,
753204158,NCT01948193,100832003,316074745,OG000,"Anti-Diphtheria; Post-dose 3; ≥0.01, (N=135)",,Percentage of Participants With Seroprotection After Vaccinations With Sanofi Pasteur's DTaP-IPV-HB-PRP-T Combined Vaccine Following a Documented Dose of a Commercial Oral Poliovirus Vaccine and Recombinant Hep B Monovalent Vaccine at Birth,"Diphtheria antibodies were measured by a toxin neutralization test, tetanus antibodies by an enzyme-linked immunosorbent assay (ELISA), Haemophilus influenzae type b polysaccharide (PRP) antibodies by Farr type radioimmunoassay, poliovirus 1, 2, and 3 antibodies by a neutralization assay, and Hepatitis B (Hep B) antibodies were measured by VITROS ECi/ECiQ Immunodiagnostic System.

Description of seroprotection: Diphtheria and Tetanus antibody concentrations ≥0.01 International Units (IU)/mL; Poliovirus 1, 2, and 3 titers ≥8 (1/dilution); Hep B concentrations ≥10 mIU/mL, and PRP ≥0.15 µg/mL.",Percentage of participants,NUMBER,99.3,99.3,,,,,,,,
753204159,NCT01948193,100832003,316074745,OG000,"Anti-Tetanus; Post-dose 3, ≥0.01 (N=134)",,Percentage of Participants With Seroprotection After Vaccinations With Sanofi Pasteur's DTaP-IPV-HB-PRP-T Combined Vaccine Following a Documented Dose of a Commercial Oral Poliovirus Vaccine and Recombinant Hep B Monovalent Vaccine at Birth,"Diphtheria antibodies were measured by a toxin neutralization test, tetanus antibodies by an enzyme-linked immunosorbent assay (ELISA), Haemophilus influenzae type b polysaccharide (PRP) antibodies by Farr type radioimmunoassay, poliovirus 1, 2, and 3 antibodies by a neutralization assay, and Hepatitis B (Hep B) antibodies were measured by VITROS ECi/ECiQ Immunodiagnostic System.

Description of seroprotection: Diphtheria and Tetanus antibody concentrations ≥0.01 International Units (IU)/mL; Poliovirus 1, 2, and 3 titers ≥8 (1/dilution); Hep B concentrations ≥10 mIU/mL, and PRP ≥0.15 µg/mL.",Percentage of participants,NUMBER,100,100.0,,,,,,,,
753204160,NCT01948193,100832003,316074745,OG000,Anti-Polio 1; Post-dose 3 (N=145),,Percentage of Participants With Seroprotection After Vaccinations With Sanofi Pasteur's DTaP-IPV-HB-PRP-T Combined Vaccine Following a Documented Dose of a Commercial Oral Poliovirus Vaccine and Recombinant Hep B Monovalent Vaccine at Birth,"Diphtheria antibodies were measured by a toxin neutralization test, tetanus antibodies by an enzyme-linked immunosorbent assay (ELISA), Haemophilus influenzae type b polysaccharide (PRP) antibodies by Farr type radioimmunoassay, poliovirus 1, 2, and 3 antibodies by a neutralization assay, and Hepatitis B (Hep B) antibodies were measured by VITROS ECi/ECiQ Immunodiagnostic System.

Description of seroprotection: Diphtheria and Tetanus antibody concentrations ≥0.01 International Units (IU)/mL; Poliovirus 1, 2, and 3 titers ≥8 (1/dilution); Hep B concentrations ≥10 mIU/mL, and PRP ≥0.15 µg/mL.",Percentage of participants,NUMBER,100,100.0,,,,,,,,
