id,nct_id,agency_class,lead_or_collaborator,name
150445659,NCT04907396,OTHER,collaborator,Pennington Biomedical Research Center
150445660,NCT04907396,OTHER,collaborator,University of New Hampshire
150445661,NCT04907396,FED,collaborator,United States Military Academy West Point
150445662,NCT01128374,OTHER,collaborator,University of Alabama at Birmingham
150445663,NCT00298402,OTHER,collaborator,Royal Brompton & Harefield NHS Foundation Trust
150445664,NCT01792895,OTHER,collaborator,Universidad Europea de Madrid
150445665,NCT00674817,INDUSTRY,collaborator,GlaxoSmithKline
150445666,NCT00959855,UNKNOWN,collaborator,ITS Pulmonary Rehabilitation Research Network
150445667,NCT00733018,OTHER,collaborator,St. Olavs Hospital
150445668,NCT00733018,OTHER,collaborator,FUGE Mid-Norway
150445669,NCT03710499,OTHER_GOV,collaborator,Rio de Janeiro State Research Supporting Foundation (FAPERJ)
150445670,NCT03710499,OTHER_GOV,collaborator,Coordenação de Aperfeiçoamento de Pessoal de Nível Superior.
150445671,NCT00887536,INDUSTRY,collaborator,"Genentech, Inc."
150445672,NCT00887536,INDUSTRY,collaborator,US Oncology Research
150445673,NCT03264677,UNKNOWN,collaborator,Shanghai Skin Disease Hospital
150445674,NCT03264677,UNKNOWN,collaborator,"Shanghai China-Norm Management Consulting co.,LTD"
150445675,NCT00898417,NIH,collaborator,National Cancer Institute (NCI)
150445676,NCT00520182,OTHER,collaborator,The S. Daniel Abraham International Center for Health and Nutrition
150445677,NCT00520182,OTHER,collaborator,Clalit Health Services
150445678,NCT05419583,OTHER_GOV,collaborator,Chief Scientist Office of the Scottish Government
150445679,NCT01417806,INDUSTRY,collaborator,Novartis Pharmaceuticals
150445680,NCT00976183,INDUSTRY,collaborator,Merck Sharp & Dohme LLC
150445681,NCT05630924,UNKNOWN,collaborator,Sesame Workshop
150445682,NCT02437344,NIH,collaborator,National Institute on Drug Abuse (NIDA)
150445683,NCT06212362,OTHER_GOV,collaborator,Region Stockholm
150445684,NCT06212362,OTHER_GOV,collaborator,Vastra Gotaland Region
150445685,NCT05539625,UNKNOWN,collaborator,The Jon Moulton Charity Trust
150445686,NCT05539625,UNKNOWN,collaborator,MitoQ
150794832,NCT05003518,UNKNOWN,collaborator,"Health Promotion Bureau, Sri Lanka"
150794833,NCT05003518,OTHER,collaborator,Universiti Putra Malaysia
150794834,NCT05003518,OTHER,collaborator,Ateneo de Manila University
150794835,NCT05003518,OTHER,collaborator,University of Cape Town
150794836,NCT05003518,UNKNOWN,collaborator,The LEGO Foundation
150794837,NCT02116790,NIH,collaborator,National Institute of Dental and Craniofacial Research (NIDCR)
150794838,NCT02116790,NIH,collaborator,National Institutes of Health (NIH)
150794839,NCT03551964,OTHER,collaborator,"Charles University, Czech Republic"
150794840,NCT03551964,OTHER,collaborator,Masaryk University
150794841,NCT03551964,OTHER_GOV,collaborator,"Ministry of Health, Czech Republic"
150794842,NCT03551964,UNKNOWN,collaborator,National Institute for Metabolic and Cardiovascular Disease Research
150794843,NCT03551964,OTHER,collaborator,"Institute of Hematology and Blood Transfusion, Czech Republic"
150794844,NCT03551964,UNKNOWN,collaborator,BioVendor LM
150794845,NCT02993406,OTHER,collaborator,The Cleveland Clinic
150794846,NCT02295943,OTHER,collaborator,Haukeland University Hospital
150445687,NCT03299556,OTHER,collaborator,Geisinger Clinic
150445688,NCT04413500,OTHER,collaborator,Region Halland
150445689,NCT01527149,NETWORK,collaborator,National Comprehensive Cancer Network
150445690,NCT00579215,OTHER,collaborator,University of Virginia
150794847,NCT02295943,OTHER,collaborator,Trondheim University Hospital
150794848,NCT02295943,OTHER,collaborator,University Hospital of North Norway
150794849,NCT03688165,OTHER,collaborator,Ospedale Santo Stefano
150794850,NCT03688165,UNKNOWN,collaborator,APSS Trento
150794851,NCT03688165,OTHER,collaborator,Azienda Sanitaria n. 4 Chiavarese
150445691,NCT00579215,NIH,collaborator,National Institute of Nursing Research (NINR)
150794852,NCT03688165,OTHER,collaborator,Fondazione Don Carlo Gnocchi Onlus
150794853,NCT03688165,OTHER,collaborator,Azienda Ospedaliera San Gerardo di Monza
150794854,NCT03688165,OTHER,collaborator,University Hospital of Ferrara
150794855,NCT03688165,OTHER,collaborator,Privatklinik Villa Melitta
150794856,NCT03688165,OTHER,collaborator,Centro Ricerche Cliniche di Verona
150445692,NCT03088449,INDUSTRY,collaborator,Merck Sharp & Dohme LLC
150445693,NCT03088449,INDUSTRY,collaborator,AbbVie
150794857,NCT03688165,UNKNOWN,collaborator,"Unità di Neuroriabilitazione, HABILITA"
150794858,NCT03688165,UNKNOWN,collaborator,"Istituto Piero Redaelli, Milano"
150794859,NCT03688165,OTHER,collaborator,S. Anna Hospital
150794860,NCT03688165,OTHER,collaborator,Azienda Sanitaria Locale n.2 Savonese
150794861,NCT03688165,UNKNOWN,collaborator,Fondazione Centri di Riabilitazione Padre Pio Onlus
150794862,NCT03688165,OTHER,collaborator,"Habilita, Ospedale di Sarnico"
150445694,NCT03088449,INDUSTRY,collaborator,Pfizer
150445695,NCT03088449,OTHER,collaborator,"Centre for Ocular Research & Education, Canada"
150445696,NCT03088449,INDUSTRY,collaborator,Napp Pharmaceuticals Limited
150445697,NCT01592734,OTHER,collaborator,Azienda Ospedaliera Ospedale Infantile Regina Margherita Sant'Anna
150445698,NCT06009939,UNKNOWN,collaborator,Department of Biomedical Engineering (IMT)
150445699,NCT06009939,UNKNOWN,collaborator,"Department of Health, Medicine and Caring Sciences (HMV)"
150445700,NCT06009939,OTHER_GOV,collaborator,Linkoeping University
150445701,NCT05201547,INDUSTRY,collaborator,GlaxoSmithKline
150794863,NCT03688165,OTHER,collaborator,I.R.C.C.S. Fondazione Santa Lucia
150794864,NCT03688165,OTHER,collaborator,"Azienda Ospedaliero, Universitaria Pisana"
150445702,NCT05671146,OTHER,collaborator,Umm Al-Qura University
150445703,NCT03868423,NIH,collaborator,National Cancer Institute (NCI)
150445704,NCT06036225,OTHER,collaborator,"Queen's University, Belfast"
150445705,NCT03496311,OTHER,collaborator,University of Milan
150445706,NCT02704455,OTHER,collaborator,Shengjing Hospital
150794865,NCT03688165,OTHER,collaborator,Azienda Socio Sanitaria Territoriale di Mantova
150794866,NCT06797258,UNKNOWN,collaborator,MCRA (an IQVIA business)
150794867,NCT06797258,UNKNOWN,collaborator,"Bruder Consulting International, LLC"
150794868,NCT05793593,UNKNOWN,collaborator,CANCER PREVENTION FUND
150794869,NCT02441985,OTHER,collaborator,National Organization for Rare Disorders
150794870,NCT02441985,OTHER,collaborator,Neuronetics
150794871,NCT05679674,INDUSTRY,collaborator,NovoCure Ltd.
150794872,NCT04407689,OTHER,collaborator,"University Hospital, Limoges"
150794873,NCT04407689,OTHER,collaborator,Amarex Clinical Research
150794874,NCT02986308,OTHER,collaborator,Heilongjiang University of Chinese Medicine
150794875,NCT05471284,OTHER,collaborator,Tufts University
150794876,NCT05471284,OTHER,collaborator,Massachusetts General Hospital
150445707,NCT02704455,OTHER,collaborator,"Capital Institute of Pediatrics, China"
150794877,NCT05471284,OTHER,collaborator,Memorial Sloan Kettering Cancer Center
150445708,NCT02704455,OTHER,collaborator,Shanghai Children's Medical Center
150794878,NCT03069703,OTHER,collaborator,EUCLID Clinical Trial Platform
150794879,NCT03069703,OTHER,collaborator,Recherche Clinique Paris Descartes Necker Cochin Sainte Anne
150794880,NCT03069703,OTHER,collaborator,CIC 1417 Cochin-Pasteur
150794881,NCT03069703,UNKNOWN,collaborator,Groupe Français d'Etude des Vascularites (GFEV)
150445709,NCT02704455,OTHER_GOV,collaborator,Shenzhen Children's Hospital
150445710,NCT02704455,OTHER,collaborator,The First Affiliated Hospital of Xiamen University
150445711,NCT02704455,OTHER,collaborator,First Affiliated Hospital of Guangxi Medical University
150445712,NCT01239953,OTHER,collaborator,"Hospital San Carlos, Madrid"
150794882,NCT00022659,NETWORK,collaborator,Gynecologic Oncology Group
150794883,NCT03405675,OTHER,collaborator,Karolinska Institutet
150794884,NCT03405675,OTHER,collaborator,Tan Tock Seng Hospital
150794885,NCT03405675,OTHER,collaborator,Ng Teng Fong General Hospital
150794886,NCT03405675,OTHER,collaborator,"St Luke's Hospital, Singapore"
150794887,NCT03405675,OTHER,collaborator,"St. Paul's Hospital, Canada"
150445713,NCT01239953,INDUSTRY,collaborator,B.Braun Surgical SA
150445714,NCT01239953,INDUSTRY,collaborator,Abbott Medical Devices
150794888,NCT03405675,OTHER,collaborator,Singapore Institute of Technology
150445715,NCT03848325,NIH,collaborator,"National Heart, Lung, and Blood Institute (NHLBI)"
150794889,NCT03405675,OTHER,collaborator,Duke-NUS Graduate Medical School
150794890,NCT03405675,OTHER,collaborator,Melbourne Health
150794891,NCT03405675,OTHER,collaborator,University of California
150794892,NCT03405675,OTHER,collaborator,"University Hospital, Basel, Switzerland"
150794893,NCT03405675,OTHER,collaborator,Université de Sherbrooke
150794894,NCT03405675,OTHER,collaborator,University Hospital Tuebingen
150794895,NCT03405675,OTHER,collaborator,"National University Hospital, Singapore"
150445716,NCT05163080,OTHER,collaborator,Translational Drug Development
150794896,NCT03405675,OTHER,collaborator,Khoo Teck Puat Hospital
150445717,NCT05163080,UNKNOWN,collaborator,Merit
150794897,NCT03405675,OTHER,collaborator,Shanghai Jiao Tong University School of Medicine
150794898,NCT03405675,OTHER,collaborator,University of British Columbia
150794899,NCT04618237,INDUSTRY,collaborator,Sanofi
150794900,NCT04255953,OTHER,collaborator,National Multiple Sclerosis Society
150794901,NCT04255953,OTHER,collaborator,University of Kansas Medical Center
150794902,NCT04255953,OTHER,collaborator,Children's Mercy Hospital Kansas City
150445718,NCT04172181,OTHER,collaborator,Shanghai Children's Hospital
150794903,NCT00637754,INDUSTRY,collaborator,Medtronic
150794904,NCT00637754,INDUSTRY,collaborator,Abbott Medical Devices
150445719,NCT04172181,OTHER,collaborator,Children's Hospital of Soochow University
150794905,NCT00637754,INDUSTRY,collaborator,Boston Scientific Corporation
150445720,NCT04172181,OTHER,collaborator,Beijing Children's Hospital
150445721,NCT04172181,OTHER,collaborator,Guangzhou Women and Children's Medical Center
150794906,NCT03374943,INDUSTRY,collaborator,"Humanigen, Inc."
150445722,NCT04172181,OTHER_GOV,collaborator,Shenzhen Children's Hospital
150794907,NCT03354936,OTHER,collaborator,Pitié-Salpêtrière Hospital
150445723,NCT04172181,OTHER,collaborator,Wuhan Women and Children's Medical Center
150445724,NCT04172181,OTHER,collaborator,Children's Hospital of Nanjing Medical University
150794908,NCT03354936,OTHER,collaborator,Bicetre Hospital
150445725,NCT04172181,OTHER,collaborator,The First Affiliated Hospital of Zhengzhou University
150445726,NCT06310876,INDUSTRY,collaborator,AbbVie
150794909,NCT00448201,NIH,collaborator,National Cancer Institute (NCI)
150794910,NCT04505839,INDUSTRY,collaborator,"KCRN Research, LLC"
150794911,NCT05461833,UNKNOWN,collaborator,"Ukrainian Research and Practical Centre of Endocrine Surgery, Transplantation of Endocrine Organs and Tissues of the Ministry of Health of Ukraine"
150794912,NCT00901953,OTHER_GOV,collaborator,Sorlandet Hospital HF
150445727,NCT02684825,UNKNOWN,collaborator,"Associazione Italiana Aritmologia e Cardiostimolazione (A.I.A.C.) - Stefano Strano, MD"
150445728,NCT02684825,INDUSTRY,collaborator,Boehringer Ingelheim
150794913,NCT01510080,OTHER,collaborator,"Central Institute of Mental Health, Mannheim"
150794914,NCT06050616,UNKNOWN,collaborator,Delosis Limited
150794915,NCT06050616,UNKNOWN,collaborator,NeuroSpin
150794916,NCT00005704,NIH,collaborator,"National Heart, Lung, and Blood Institute (NHLBI)"
150794917,NCT05653063,NIH,collaborator,National Institutes of Health (NIH)
150445729,NCT02684825,UNKNOWN,collaborator,Medtronic Italia S.p.A.
150794918,NCT05653063,OTHER,collaborator,Rising Tide Foundation
150794919,NCT05653063,OTHER_GOV,collaborator,Medical Research Council
150794920,NCT05653063,OTHER_GOV,collaborator,Tata Memorial Hospital
150794921,NCT05653063,OTHER,collaborator,Tata Memorial Centre
150794922,NCT05653063,OTHER,collaborator,University of Stellenbosch
150794923,NCT05653063,OTHER,collaborator,King Hussein Cancer Center
150794924,NCT05653063,OTHER,collaborator,University of Malaya
150445730,NCT02684825,UNKNOWN,collaborator,Bayer S.p.A
150445731,NCT02485873,INDUSTRY,collaborator,"Janssen, LP"
150794925,NCT05653063,OTHER,collaborator,University Ghent
150445732,NCT03909152,INDUSTRY,collaborator,Context Therapeutics Inc.
150794926,NCT05653063,OTHER,collaborator,M.D. Anderson Cancer Center
150794927,NCT05653063,OTHER,collaborator,Mount Vernon Cancer Centre at Mount Vernon Hospital
150445733,NCT03546309,UNKNOWN,collaborator,The Fifth Medical Center of the Chinese People's Liberation Army (PLA) General Hospital
150794928,NCT05653063,OTHER,collaborator,University of Cape Town
150445734,NCT04081493,OTHER,collaborator,Horsens Hospital
150794929,NCT05653063,NIH,collaborator,National Cancer Institute (NCI)
150794930,NCT03414385,NIH,collaborator,National Institute of Diabetes and Digestive and Kidney Diseases (NIDDK)
150794931,NCT03414385,FED,collaborator,US Department of Veterans Affairs
150445735,NCT04081493,OTHER,collaborator,Regionshospitalet Silkeborg
150445736,NCT04430452,INDUSTRY,collaborator,AstraZeneca
150794932,NCT05435482,OTHER,collaborator,Duke Clinical Research Institute
150794933,NCT05435482,NIH,collaborator,National Institute on Minority Health and Health Disparities (NIMHD)
150794934,NCT02136953,OTHER_GOV,collaborator,Canadian Institutes of Health Research (CIHR)
150794935,NCT02136953,OTHER,collaborator,Centre for Addiction and Mental Health
150445737,NCT06644573,INDUSTRY,collaborator,Masimo Corporation
150445738,NCT06644573,INDUSTRY,collaborator,PROSOMNIA Sleep Health & Wellness
150445739,NCT04086745,INDUSTRY,collaborator,Incyte Corporation
150794936,NCT02136953,OTHER,collaborator,McMaster University
150445740,NCT04935606,NIH,collaborator,National Institute on Drug Abuse (NIDA)
150445741,NCT04935606,OTHER,collaborator,University of Arkansas
150445742,NCT04935606,OTHER,collaborator,Medical University of South Carolina
150794937,NCT02136953,OTHER,collaborator,Toronto Metropolitan University
150794938,NCT02145338,OTHER,collaborator,NHS Health Technology Assessment Programme
150968963,NCT02046551,FED,collaborator,VA Office of Research and Development
150794939,NCT02145338,OTHER,collaborator,Newcastle University
150310217,NCT01831843,OTHER,lead,Seoul National University Hospital
150445743,NCT02938130,UNKNOWN,collaborator,Community Living And Support Services
150445744,NCT02938130,UNKNOWN,collaborator,Community LIFE
150445745,NCT00256594,FED,collaborator,Health Resources and Services Administration (HRSA)
150794940,NCT02145338,OTHER,collaborator,Glasgow Caledonian University
150445746,NCT00006394,OTHER,collaborator,University of Pennsylvania
150445747,NCT03525236,INDUSTRY,collaborator,"Nutricia, Inc."
150794941,NCT02145338,OTHER,collaborator,University of Aberdeen
150794942,NCT02145338,OTHER,collaborator,Cambridge University Hospitals NHS Foundation Trust
150794943,NCT02145338,OTHER,collaborator,North Bristol NHS Trust
150794944,NCT02145338,OTHER,collaborator,University of Southampton
150794945,NCT05781412,OTHER,collaborator,Vrije Universiteit Brussel
150794946,NCT05781412,OTHER,collaborator,University Ghent
150794947,NCT05781412,OTHER,collaborator,Universitair Ziekenhuis Brussel
150794948,NCT06343298,OTHER,collaborator,Mayo Clinic
150794949,NCT06343298,INDUSTRY,collaborator,"PPD Development, LP"
150794950,NCT04028921,NIH,collaborator,National Institute of Diabetes and Digestive and Kidney Diseases (NIDDK)
150794951,NCT05349227,INDUSTRY,collaborator,Daiichi Sankyo
150794952,NCT05349227,INDUSTRY,collaborator,GlaxoSmithKline
150794953,NCT05349227,OTHER,collaborator,University of Nebraska
150794954,NCT05349227,OTHER,collaborator,Ohio State University Comprehensive Cancer Center
150794955,NCT05349227,OTHER,collaborator,"The University of Texas Health Science Center, Houston"
150794956,NCT05349227,OTHER,collaborator,M.D. Anderson Cancer Center
150794957,NCT05349227,OTHER,collaborator,University of Florida
150794958,NCT05349227,OTHER,collaborator,Memorial Sloan Kettering Cancer Center
150794959,NCT05349227,OTHER,collaborator,Dana-Farber Cancer Institute
150445748,NCT01668784,INDUSTRY,collaborator,Ono Pharmaceutical Co. Ltd
150445749,NCT02318316,OTHER,collaborator,The Scientific and Technological Research Council of Turkey
150445750,NCT02761330,OTHER,collaborator,James S McDonnell Foundation
150445751,NCT00602602,NIH,collaborator,National Cancer Institute (NCI)
150445752,NCT02578147,NIH,collaborator,National Institute of Nursing Research (NINR)
150445753,NCT01356576,OTHER,collaborator,Staten Island University Hospital
150445754,NCT01547611,OTHER,collaborator,"University Hospital, Linkoeping"
150445755,NCT01547611,OTHER,collaborator,Karolinska University Hospital
150445756,NCT01547611,OTHER,collaborator,Ryhov County Hospital
150445757,NCT01547611,OTHER,collaborator,Lund University Hospital
150445758,NCT03994081,OTHER,collaborator,"Foundation of Hope, North Carolina"
150445759,NCT03131024,OTHER,collaborator,Susan G. Komen Breast Cancer Foundation
150445760,NCT04696484,OTHER,collaborator,Cystic Fibrosis Foundation
150445761,NCT05125835,OTHER,collaborator,"Dr. Peter C. Fritz, Periodontal Wellness & Implant Surgery"
150445762,NCT01511406,OTHER,collaborator,Stiftelsen Helse og Rehabilitering
150445763,NCT02845323,INDUSTRY,collaborator,Bristol-Myers Squibb
150445764,NCT00685230,OTHER,collaborator,University of Arizona
150445765,NCT00685230,OTHER,collaborator,Universidad Nacional Autonoma de Mexico
150445766,NCT00771758,INDUSTRY,collaborator,Grünenthal GmbH
150445767,NCT00048425,INDUSTRY,collaborator,"Orion Corporation, Orion Pharma"
150445768,NCT05382845,OTHER,collaborator,Lund University
150445769,NCT04324827,OTHER,collaborator,Medipol University
150445770,NCT05672381,OTHER,collaborator,Dartmouth College
150445771,NCT02977663,INDUSTRY,collaborator,General Electric
150445772,NCT02867436,OTHER_GOV,collaborator,Faculty Hospital Kralovske Vinohrady
150445773,NCT02867436,OTHER,collaborator,Czech Academy of Sciences
150445774,NCT00872820,NIH,collaborator,National Institute of Mental Health (NIMH)
150445775,NCT05826314,UNKNOWN,collaborator,Faculdade de Desporto da Universidade do Porto
150445776,NCT05826314,OTHER,collaborator,"Foundation for Science and Technology, Portugal"
150445777,NCT06471972,OTHER,collaborator,University of Helsinki
150445778,NCT06471972,OTHER,collaborator,The George Institute
150445779,NCT06471972,OTHER,collaborator,"Copenhagen Trial Unit, Center for Clinical Intervention Research"
150445780,NCT06471972,OTHER,collaborator,Medical Research Institute of New Zealand
150445781,NCT03804528,NIH,collaborator,National Center for Advancing Translational Sciences (NCATS)
