id,nct_id,outcome_type,title,description,time_frame,population,anticipated_posting_date,anticipated_posting_month_year,units,units_analyzed,dispersion_type,param_type
100897248,NCT01992536,SECONDARY,4. Percentage of Subjects With HT-hSBA Titer ≥ 1:5 to N. Meningitidis Strains of Serogroup B.,"Percentage of subjects with HT-hSBA titer ≥ 1:5 against N. meningitidis strains of serogroup B assessed prior to the administration of MenABCWY booster vaccination or placebo.

Pre vaccination is 24 months after completion of the primary vaccination series, in subjects who previously received the same vaccine formulation in study V102_03 (NCT01272180).",Day 1 (Pre vaccination),Analysis was done on the FAS Day 1 (Persistence) population. All subjects in the enrolled population who provided an evaluable serum sample at Day 1.,,,Percentages of Subjects,,95% Confidence Interval,NUMBER
100897249,NCT01992536,SECONDARY,"5. The HT-hSBA Geometric Mean Titers (GMTs) Against N. Meningitidis Serogroups A, C, W,Y.","The HT-hSBA GMTs against N. meningitidis serogroup A, C, W, Y prior the administration of MenABCWY booster vaccination or placebo.

Pre vaccination is 24 months after completion of the primary vaccination series, in subjects who previously received the same vaccine formulation in study V102_03 (NCT01272180).",Day 1 (Pre-vaccination),Analysis was done on FAS Day 1 (Persistence) population. All subjects in the enrolled population who provided an evaluable serum sample at Day 1.,,,Titers,,95% Confidence Interval,GEOMETRIC_MEAN
101143188,NCT02447952,OTHER_PRE_SPECIFIED,Number of Participants Reporting Sensor Comfort,"Participant's feedback on whether the sensor was comfortable to wear was categorized as ""yes"" and ""no"". Only those participants with data available at the specified time points were analyzed (represented by n=X in the category titles).",Up to Week 48,Full Analysis Set,,,Participants,,,NUMBER
100897250,NCT01992536,SECONDARY,6. The HT-hSBA GMTs Against N. Meningitidis Strains of Serogroup B.,"The HT-hSBA GMTs against N. meningitidis strains of serogroup B prior the administration of MenABCWY booster vaccination or placebo.

Pre vaccination is 24 months after completion of the primary vaccination series, in subjects who previously received the same vaccine formulation in study V102_03 (NCT01272180).",Day 1 (Pre-vaccination),Analysis was done on the FAS Day 1 (Persistence) population. All subjects in the enrolled population who provided an evaluable serum sample at Day 1.,,,Titers,,95% Confidence Interval,GEOMETRIC_MEAN
100897251,NCT01992536,SECONDARY,"7. The HT-hSBA GMTs Against N. Meningitidis Serogroups A, C, W, Y.","The HT-hSBA GMTs against N. meningitidis serogroup A, C, W, Y at Day 1 and Day 30 (one month) after the administration of MenABCWY booster vaccination or placebo.",Day 1 and Day 30,"Analysis was done on FAS Day 30 (Booster) population. All subjects in the enrolled population who were randomized, actually received the study vaccination in V102_03E1 and provided an evaluable serum sample at Day 30 (for seroresponse, Day 1 and Day 30 samples were required).",,,Titers,,95% Confidence Interval,GEOMETRIC_MEAN
100897252,NCT01992536,SECONDARY,8. The HT-hSBA GMTs Against N. Meningitidis Strains of Serogroups B.,The HT-hSBA GMTs against N. meningitidis strains of serogroups B at Day 1 and Day 30 (one month) after the administration of MenABCWY booster vaccination or placebo.,Day 1 and Day 30,"Analysis was done on FAS Day 30 (Booster) population.. All subjects in the enrolled population who were randomized, actually received the study vaccination in V102_03E1 and provided an evaluable serum sample at Day 30 (for seroresponse, Day 1 and Day 30 samples were required).",,,Titers,,95% Confidence Interval,GEOMETRIC_MEAN
100897253,NCT01992536,SECONDARY,9. Percentage of Subjects With Four-fold Rise in HT-hSBA Titers Against N. Meningitidis Serogroup B Strains.,"Percentage of subjects with four-fold rise in HT-hSBA titers against N. meningitidis serogroup B strains, from Day 1 (baseline) to Day 30 (one month) after the administration of MenABCWY booster vaccination or placebo.

Four-fold rise is defined as follows: for subjects with a pre-vaccination titer \< 1:2, a post-titer of ≥ 1:8; for subjects with a pre-vaccination titer ≥ 1:2 at least a four-fold increase.",Day 1 and Day 30,"Analysis was done on FAS Day 30 (Booster) population. All subjects in the enrolled population who were randomized, actually received the study vaccination in V102_03E1 and provided an evaluable serum sample at Day 30 (for seroresponse, Day 1 and Day 30 samples were required).",,,Percentages of Subjects,,95% Confidence Interval,NUMBER
100897254,NCT01992536,SECONDARY,"10. Percentage of Subjects With HT-hSBA Titer ≥ 1:8 Against N. Meningitidis Serogroups A,C,W,Y.","Percentage of subjects with HT-hSBA titer ≥ 1:8 to N. meningitidis serogroups A,C,W,Y at Day 1 and Day 30 (one month) after the administration of a booster dose of MenABCWY vaccine or placebo in this study, versus baseline.",Day 1 and Day 30,"Analysis was done on FAS Day 30 (Booster) population.. All subjects in the enrolled population who were randomized, actually received the study vaccination in V102_03E1 and provided an evaluable serum sample at Day 30 (for seroresponse, Day 1 and Day 30 samples were required).",,,Percentages of Subjects,,95% Confidence Interval,NUMBER
100897255,NCT01992536,SECONDARY,11. Percentage of Subjects With HT-hSBA Titer ≥ 1:5 Against N. Meningitidis Serogroup B Strains.,"Percentage of subjects with HT-hSBA titer ≥ 1:5 to N. meningitidis serogroup B strains at Day 1 and Day 30 (one month) after the administration of a booster dose of MenABCWY vaccine or placebo in this study, versus baseline.",Day 1 and Day 30,"Analysis was done on FAS Day 30 (Booster) population.. All subjects in the enrolled population who were randomized, actually received the study vaccination in V102_03E1 and provided an evaluable serum sample at Day 30 (for seroresponse, Day 1 and Day 30 samples were required).",,,Percentages of Subjects,,95% Confidence Interval,NUMBER
100897256,NCT01992536,SECONDARY,"12. Percentage of Subjects With Seroresponse to N. Meningitidis Serogroups A, C, W and Y, at Day 30 After Booster Vaccination in This Study.","Percentage of subjects with seroresponse to N. meningitidis serogroup A, C, W and Y, at Day 30 after the administration of a booster dose of MenABCWY vaccine or placebo in this study, versus baseline.",Day 30,"Analysis was done on FAS Day 30 (Booster) population. All subjects in the enrolled population who were randomized, actually received the study vaccination in V102_03E1 and provided an evaluable serum sample at Day 30 (for seroresponse, Day 1 and Day 30 samples were required).",,,Percentages of Subjects,,95% Confidence Interval,NUMBER
100897257,NCT01992536,SECONDARY,"13. Percentage of Subjects With HT-hSBA Titer ≥ 1:8 to N. Meningitidis Serogroups A, C, W,Y.","Percentage of subjects with HT-hSBA titer ≥ 1:8 against N. meningitidis serogroups A, C, W, Y, at 24 and 36 months after the primary vaccination.",Day 1 and Day 365,"Analysis was done on the FAS Day 365 (Persistence of Booster) population. All subjects in the enrolled population who were randomized, actually received the study vaccination in V102_03E1 and provided an evaluable serum sample at Day 365.",,,Percentages of Subjects,,95% Confidence Interval,NUMBER
100897258,NCT01992536,SECONDARY,14. Percentage of Subjects With HT-hSBA Titer ≥ 1:5 to N. Meningitidis Strains of Serogroup B,"Percentage of subjects with HT-hSBA titer ≥ 1:5 against N. meningitidis strains of serogroup B, at 24 and 36 months after the primary vaccination.","Day 1, Day 30 and Day 365","Analysis was done on FAS Day 365 (Persistence of Booster) population. All subjects in the enrolled population who were randomized, actually received the study vaccination in V102_03E1 and provided an evaluable serum sample at Day 365.",,,Percentages of Subjects,,95% Confidence Interval,NUMBER
100897259,NCT01992536,SECONDARY,15. Percentage of Subjects With Four-fold Rise in HT-hSBA Titers Against N. Meningitidis Serogroup B Strains.,"Percentage of subjects with four-fold rise in HT-hSBA titers against N. meningitidis serogroup B strains, at 24 and 36 months after the primary vaccination.

Four-fold rise is defined as follows: for subjects with a pre-vaccination titer \< 1:2, a post-titer of ≥ 1:8; for subjects with a pre-vaccination titer ≥ 1:2 at least a four-fold increase.","Day 1, Day 30 and Day 365","Analysis was done on FAS Day 365 (Persistence of Booster). All subjects in the enrolled population who were randomized, actually received the study vaccination in V102_03E1 and provided an evaluable serum sample at Day 365.",,,Percentages of Subjects,,95% Confidence Interval,NUMBER
100897260,NCT01992536,SECONDARY,"16. The HT-hSBA GMTs Against N. Meningitidis Serogroups A, C, W, Y.","The HT-hSBA GMTs against N. meningitidis serogroup A, C, W, Y, at 24 and 36 months after the primary vaccination.",Day 1 and Day 365,"Analysis was done on FAS Day 365 (Persistence of Booster). All subjects in the enrolled population who were randomized, actually received the study vaccination in V102_03E1 and provided an evaluable serum sample at Day 365.",,,Titers,,95% Confidence Interval,GEOMETRIC_MEAN
100897261,NCT01992536,SECONDARY,17. The HT-hSBA GMTs Against N. Meningitidis Strains of Serogroups B.,"The HT-hSBA GMTs against N. meningitidis strains of serogroups B, at 24 and 36 months after the primary vaccination.",Day 1 and Day 365,"Analysis was done on FAS Day 365 (Persistence of Booster) population. All subjects in the enrolled population who were randomized, actually received the study vaccination in V102_03E1 and provided an evaluable serum sample at Day 365.",,,Titers,,95% Confidence Interval,GEOMETRIC_MEAN
100897262,NCT01992536,SECONDARY,"18. Percentage of Subjects With HT-hSBA Titer ≥ 1:8 to N. Meningitidis Serogroups A, C, W,Y.","Percentage of subjects with HT-hSBA titer ≥ 1:8 against N. meningitidis serogroups A, C, W, Y at Day 1, Day 30 (one month) and Day 365 (12 months) after the administration of MenABCWY booster vaccination.","Day 1, Day 30 and Day 365","Analysis was done on FAS Day 365 (Persistence of Booster). All subjects in the enrolled population who were randomized, actually received the study vaccination in V102_03E1 and provided an evaluable serum sample at Day 365.",,,Percentages of Subjects,,95% Confidence Interval,NUMBER
100897263,NCT01992536,SECONDARY,19. Percentage of Subjects With HT-hSBA Titer ≥ 1:5 to N. Meningitidis Strains of Serogroup B.,"Percentage of subjects with HT-hSBA titer ≥ 1:5 against N. meningitides strains of serogroups B at Day 1, Day 30 (one month) and Day 365 (12 months) after the administration of MenABCWY booster vaccination.","Day 1, Day 30 and Day 365","Analysis was done on FAS Day 365 (Persistence of Booster). All subjects in the enrolled population who were randomized, actually received the study vaccination in V102_03E1 and provided an evaluable serum sample at Day 365.",,,Percentages of Subjects,,95% Confidence Interval,NUMBER
100897264,NCT01992536,SECONDARY,"20. The HT-hSBA GMTs Against Neisseria Meningitidis Serogroups A, C, W,Y and Strains of Serogroups B.","The HT-hSBA GMTs against Neisseria meningitidis serogroup A, C, W, Y and strains of serogroups B at Day 1, Day 30 (one month) and Day 365 (12 months) after the administration of MenABCWY booster vaccination.","Day 1, Day 30 and Day 365","Analysis was done on FAS Day 365 (Persistence of Booster). All subjects in the enrolled population who were randomized, actually received the study vaccination in V102_03E1 and provided an evaluable serum sample at Day 365.",,,Titers,,95% Confidence Interval,GEOMETRIC_MEAN
100897265,NCT01992536,SECONDARY,21. The HT-hSBA GMTs Against Neisseria Meningitidis Strains of Serogroups B.,"The HT-hSBA GMTs against Neisseria meningitidis strains of serogroups B at Day 1, Day 30 (one month) and Day 365 (12 months) after the administration of MenABCWY booster vaccination.","Day 1, Day 30 and Day 365","Analysis was done on FAS Day 365 (Persistence of Booster). All subjects in the enrolled population who were randomized, actually received the study vaccination in V102_03E1 and provided an evaluable serum sample at Day 365.",,,Titers,,95% Confidence Interval,GEOMETRIC_MEAN
100897266,NCT01992536,SECONDARY,"22. Percentage of Subjects With HT-hSBA Titer ≥ 1:8 to N. Meningitidis Serogroups A,C,W,Y at 12 Months After Booster Vaccination.","Percentage of subjects with HT-hSBA titer ≥ 1:8 to N. meningitidis serogroups A,C,W,Y at Day 1, Day 30 (one month) and Day 365 (12 months) after the administration of MenABCWY booster vaccination in this study.","Day 1, Day 30 and Day 365","Analysis was done on FAS Day 365 (Persistence of Booster). All subjects in the enrolled population who were randomized, actually received the study vaccination in V102_03E1 and provided an evaluable serum sample at Day 365.",,,Percentages of Subjects,,95% Confidence Interval,NUMBER
100897267,NCT01992536,SECONDARY,23. Number of Subjects With Solicited Local and Systemic Adverse Events Following Booster Vaccination in This Study.,"Number of subjects reporting solicited local and systemic adverse events after receiving a booster dose of MenABCWY vaccine or placebo. the below reported events are Erythema- Injection site erythema, Induration- Injection site induration, Pain-injection site pain, Arthralgia, Chills, Fatigue, Headache, Loss of Appetite, Myalgia, Nausea, Rash, Fever, Prevention- Prevention of Pain and/or Fever, Treatment- Treatment of Pain and/or Fever and Analgesic/Antipyr.: use of Analgesic/Antipyretics in pain and fever.",From day 1 (6 hours) through day 7 after any vaccination,"Analysis was done on the Solicited Safety Set, i.e. all exposed subjects who provide post vaccination solicited adverse event data.",,,Participants,,,NUMBER
100897268,NCT01992536,SECONDARY,24. Number of Subjects With Unsolicited (Any AEs and Possibly Related AEs) Following Booster Vaccination in This Study.,"Number of subjects reporting unsolicited AEs (any AEs and at least possibly related AEs) after receiving a booster dose of MenABCWY vaccine or placebo from Day 1 to Day 30.

Analysis was done on the Unsolicited Safety Set. All subjects in the exposed population who provided information about post-vaccination AEs or safety records at Day 30.",Day 1 through Day 30,Analysis was done on the Unsolicited Safety Set. All subjects in the exposed population who provided information about post-vaccination AEs or safety records at Day 30.,,,Participants,,,NUMBER
100897269,NCT01992536,SECONDARY,25. Number of Subjects With Unsolicited Adverse Events Following Booster Vaccination in This Study.,"Number of subjects reporting any serious unsolicited AEs (SAEs), possibly related SAEs, medically attended AEs, unsolicited AEs leading to withdrawal and deaths after receiving a booster dose of MenABCWY vaccine or placebo, are reported for the entire study period.",Day 1 to Day 365,Analysis was done on the Unsolicited Safety Set. All subjects in the exposed population who provided information about post-vaccination AEs or safety records at Day 30.,,,Participants,,,NUMBER
100897270,NCT01992536,SECONDARY,26. Number of Subjects With Unsolicited Adverse Leading to New Onset Chronic Disease (NOCD) Before Study Vaccination.,"Number of subjects reporting New Onset Chronic Disease (NOCD),from the end of the primary parental study V102_03 (NCT01272180) up to Day 1 visit in V102_03E1 study, is reported. (Any NOCD AEs: NOCD V102_03 (NCT01272180) vs. NOCD- Day 1, V102_03E1)",From primary parent study completion up to Day 1 in this study.,"Analysis was done on the all enrolled set population. All screened subjects who have been enrolled (ie, attended the first clinic visit and received a subject ID).",,,Participants,,,NUMBER
100904285,NCT02255175,SECONDARY,Change in Inventory of Depression and Anxiety Symptoms (IDAS) Dysphoria Scores,"The Dysphoria Scale of the Inventory of Depression and Anxiety Symptoms (IDAS) will be used to assess the change in depressive symptom severity. The IDAS Dysphoria Scale consists of 10 items and uses a 5-point Likert-type scale, ranging from 1 to 5 with 1 indicating ""not at all"" and 5 indicating ""extremely"". As such, the range of possible scores is 10 to 50. The Dysphoria scale includes items assessing feelings of depression, inadequacy, psychomotor agitation, guilt, discouragement, anhedonia, poor concentration, difficulty with decision-making, psychomotor retardation, and worry. Higher scores indicate worse depression symptoms.",Assessed at pre- and post-treatment (visits 3 and 6),,,,score on a scale,,Standard Error,MEAN
100904286,NCT01276587,PRIMARY,Serum 25-hydroxyvitamin D Concentration,Serum 25-hydroxyvitamin D level was measured at 6 months.,Up to 6 months,,,,ng/mL,,Standard Deviation,MEAN
100897271,NCT01762761,PRIMARY,Number of Participants (Responders) Achieving a Platelet Count >=50×10^9/L After the First 6 Weeks of Stage 1,"The number of participants (responders) with platelet count \>=50x10\^9/L after 6 weeks of Stage 1 were compared between treatments using a logistic regression model adjusted for use of primary immune thrombocytopenia (ITP) medication at Baseline (yes/no), splenectomy (yes/no), Baseline platelet count \<=15×10\^9/L (yes/no) and treatment. Complete blood count including platelet count was done at Week 1, Week 2, Week 3, Week 4, Week 5 and Week 6. Primary Analysis Data Set: a participant who withdrawals from Stage 1 or is emergently unblinded was classified as a negative response from the time of withdrawal or unblinding date and for all subsequent visits. In the event of a participant dying, information for all subsequent assessments would be considered missing. All intermittent missing data (apart from withdrawals) will be treated as missing.",From the start of study treatment (Day 1) up to the end of Week 6 of Stage 1,Intent-to-Treat (ITT) Population: all randomized participants who received at least one dose of study medication and with at least one platelet count post-Baseline in Stage 1.,,,Participants,,,NUMBER
100897272,NCT01762761,SECONDARY,Number of Participants Achieving a Platelet Count >=50×10^9/L at Least Once During the First 6 Weeks of Stage 1,"The number of participants (responders) with platelet count \>=50×10\^9/L at least once during the first 6 weeks of Stage 1 were compared between treatments using a logistic regression model adjusted for use of ITP medication at Baseline (yes/no), splenectomy (yes/no), Baseline platelet count \<=15×10\^9/L (yes/no) and treatment. Complete blood count including platelet count was done at Week 1, Week 2, Week 3, Week 4, Week 5 and Week 6.",From the start of study treatment (Day 1) up to the end of Week 6 of Stage 1,ITT Population: all randomized participants who received at least one dose of study medication and with at least one platelet count post-Baseline in Stage 1.,,,Participants,,,NUMBER
100897273,NCT01762761,SECONDARY,"Number of Participants Achieving a Platelet Count >=30×10^9/L and at Least 2 Times the Baseline Platelet Count at Least Once During the 6 Weeks of Stage 1, the Whole Stage 2 and the Whole Stage 3","The number of participants achieving a platelet count \>=30×10\^9/L and at least 2 times the Baseline platelet count at least once during the first 6 weeks of Stage 1 were analyzed. The Baseline platelet count is defined as the platelet count taken on Day 1 of the study or within 48 hours prior to the first dose of investigational product. Logistic regression analysis was adjusted for use of ITP medication at Baseline (yes/no), splenectomy (yes/no), Baseline platelet count \<=15×10\^9/L (yes/no) and treatment. Complete blood count including platelet count was done at Week 1, Week 2, Week 3, Week 4, Week 5 and Week 6.",From the start of study treatment (Day 1) up to the end of Stage 3,"ITT Population: was comprised of all rand. participats who received at least 1 dose of study medication \& with at least 1 platelet count post-baseline (BL) in stages 1, 2 \& 3. 1 part. did not have a BL platelet count as platelet count not collected on Day 1 or within 48 hours prior to the 1st dose of investig. product; this part. was not evaluable",,,Participants,,,NUMBER
100897274,NCT01762761,SECONDARY,Number of Participants With Bleeding as Assessed Using the World Health Organization (WHO) Bleeding Scale,"The WHO Bleeding Scale is a measure of bleeding severity with the following grades: grade 0 = no bleeding, grade 1= petechiae, grade 2= mild blood loss, grade 3 = gross blood loss, and grade 4 = debilitating blood loss. The WHO Bleeding Scale were dichotomized to indicate no bleeding vs bleeding, i.e. 0=grade 0 and 1=grades 1, 2, 3 or 4. Generalized linear mixed model was applied with a Logit canonical link function for repeated binary data, allowing for Baseline dichotomized WHO bleeding grade, use of ITP medication at Baseline (yes/no), splenectomy (yes/no), Baseline platelet count \<=15×10\^9/L (yes/no) and treatment as fixed effects, and the participant was treated as a random effect. Bleeding incidences were recorded at Screening, Week 1, Week 2, Week 3, Week 4, Week 5 and Week 6 for Stage 1, Baseline, Weeks 4, 8, 16, 20, 24 for Stage 2; Baseline, Weeks 25, 29, 73, 97, 121, 145, 169, 193, 217, 241, 265, 284 for Stage 3. Bleeding incidences at these time points are presented.",From the start of study treatment (Day 1) up to the end of Stage 3,"ITT Population: was comprised of all rand. participats who received at least 1 dose of study medication \& with at least 1 platelet count post-baseline (BL) in stages 1, 2 \& 3.",,,Participants,,,NUMBER
100897275,NCT01762761,SECONDARY,Number of Participants With Clinically Significant Bleeding as Assessed Using the World Health Organization (WHO) Bleeding Scale,"The WHO Bleeding Scale is a measure of bleeding severity with the following grades: grade 0 = no bleeding, grade 1= petechiae, grade 2= mild blood loss, grade 3 = gross blood loss, and grade 4 = debilitating blood loss. The WHO Bleeding Scale grades were dichotomized into the following categories: no clinically significant bleeding = Grade 0 to 1; clinically significant bleeding = Grade 2 to 4. Generalized linear mixed model with a Logit canonical link function for repeated binary data, allowing for Baseline dichotomized WHO bleeding grade, use of ITP medication at Baseline (yes/no), splenectomy (yes/no), Baseline platelet count \<=15×10\^9/L (yes/no) and treatment as fixed effects, and the participant was treated as a random effect.",From the start of study treatment (Day 1) up to the end of Stage 3,"ITT Population: was comprised of all rand. participats who received at least 1 dose of study medication \& with at least 1 platelet count post-baseline (BL) in stages 1, 2 \& 3.",,,Participants,,,NUMBER
