nct_id,nlm_download_date_description,study_first_submitted_date,results_first_submitted_date,disposition_first_submitted_date,last_update_submitted_date,study_first_submitted_qc_date,study_first_posted_date,study_first_posted_date_type,results_first_submitted_qc_date,results_first_posted_date,results_first_posted_date_type,disposition_first_submitted_qc_date,disposition_first_posted_date,disposition_first_posted_date_type,last_update_submitted_qc_date,last_update_posted_date,last_update_posted_date_type,start_month_year,start_date_type,start_date,verification_month_year,verification_date,completion_month_year,completion_date_type,completion_date,primary_completion_month_year,primary_completion_date_type,primary_completion_date,target_duration,study_type,acronym,baseline_population,brief_title,official_title,overall_status,last_known_status,phase,enrollment,enrollment_type,source,limitations_and_caveats,number_of_arms,number_of_groups,why_stopped,has_expanded_access,expanded_access_type_individual,expanded_access_type_intermediate,expanded_access_type_treatment,has_dmc,is_fda_regulated_drug,is_fda_regulated_device,is_unapproved_device,is_ppsd,is_us_export,biospec_retention,biospec_description,ipd_time_frame,ipd_access_criteria,ipd_url,plan_to_share_ipd,plan_to_share_ipd_description,created_at,updated_at,source_class,delayed_posting,expanded_access_nctid,expanded_access_status_for_nctid,fdaaa801_violation,baseline_type_units_analyzed,patient_registry
NCT03689413,,2018-09-27,,,2020-06-08,2018-09-27,2018-09-28,ACTUAL,,,,,,,2020-06-08,2020-06-11,ACTUAL,2018-10-01,ACTUAL,2018-10-01,2020-06,2020-06-30,2019-08-28,ACTUAL,2019-08-28,2019-08-28,ACTUAL,2019-08-28,,INTERVENTIONAL,,,Adequate Dosage of Sugammadex on Thyroid Surgery,Comparison of Sugammadex Dosages to Reverse the Effect of Rocuronium for Continuous Intraoperative Neuromonitoring in Thyroid Surgery,COMPLETED,,NA,102.0,ACTUAL,Seoul National University Hospital,,2.0,,,False,,,,True,False,False,,,,,,,,,,,2025-06-25 18:51:03.905308,2025-06-25 18:51:03.905308,OTHER,,,,,,
NCT01029808,,2009-12-09,,,2016-10-18,2009-12-09,2009-12-10,ESTIMATED,,,,,,,2016-10-18,2016-10-19,ESTIMATED,2009-12,,2009-12-31,2016-10,2016-10-31,2011-07,ACTUAL,2011-07-31,2011-07,ACTUAL,2011-07-31,,OBSERVATIONAL,,,Bleeding Symptoms of Carriers of Hemophilia A and B,Bleeding Symptoms of Carriers of Hemophilia A and B,COMPLETED,,,126.0,ACTUAL,Sahlgrenska University Hospital,,,,,False,,,,False,,,,,,,,,,,,,2025-06-25 18:51:03.905308,2025-06-25 18:51:03.905308,OTHER,,,,,,
NCT03826823,,2011-07-11,,,2019-01-30,2019-01-30,2019-02-01,ACTUAL,,,,,,,2019-01-30,2019-02-01,ACTUAL,2010-02,,2010-02-28,2008-03,2008-03-31,2010-07,ACTUAL,2010-07-31,2010-02,ACTUAL,2010-02-28,,INTERVENTIONAL,,,Thin Catheter for Hysterosalpigography,Hysterosalpigography Using a Thin Catheter and Closing the Cervix With the Vaginal Speculum to Reduce the Pain,COMPLETED,,NA,89.0,ACTUAL,Cairo University,,1.0,,,False,,,,False,,,,,,,,,,,,,2025-06-24 22:04:59.160261,2025-06-24 22:04:59.160261,OTHER,,,,,,
NCT03770715,,2018-12-07,,,2019-12-02,2018-12-07,2018-12-10,ACTUAL,,,,,,,2019-12-02,2019-12-03,ACTUAL,2018-08-17,ACTUAL,2018-08-17,2019-12,2019-12-31,2019-12-02,ACTUAL,2019-12-02,2019-05-24,ACTUAL,2019-05-24,1 Month,OBSERVATIONAL,,,Sleep Apnea After Extubation,Sleep Apnea After Extubation,COMPLETED,,,13.0,ACTUAL,Seoul National University Hospital,,,,,False,,,,False,False,False,,,,,,,,,,,2025-06-25 12:16:26.243304,2025-06-25 12:16:26.243304,OTHER,,,,,,True
NCT05942664,,2023-06-26,,,2024-12-03,2023-07-05,2023-07-12,ACTUAL,,,,,,,2024-12-03,2024-12-06,ACTUAL,2023-06-26,ACTUAL,2023-06-26,2024-12,2024-12-31,2024-05-06,ACTUAL,2024-05-06,2024-05-05,ACTUAL,2024-05-05,,INTERVENTIONAL,,,Sleeping Habits on Performance Following Sleep Deprivation,Can Habitual Sleeping Habits Predict Performance Outcomes Following Sleep Deprivation?,COMPLETED,,NA,22.0,ACTUAL,University of Guelph,,2.0,,,False,,,,,False,False,,,,,,,,,,,2025-06-25 12:16:26.243304,2025-06-25 12:16:26.243304,OTHER,,,,,,
NCT06317610,,2024-03-12,,,2024-03-12,2024-03-12,2024-03-19,ACTUAL,,,,,,,2024-03-12,2024-03-19,ACTUAL,2022-01-01,ACTUAL,2022-01-01,2024-03,2024-03-31,2024-05-30,ESTIMATED,2024-05-30,2024-04-30,ESTIMATED,2024-04-30,,OBSERVATIONAL,,,Artificial Intelligence Model for Growth Prediction of Ovarian Cancer Organoids,Development and Validation of Growth Prediction Model for Ovarian Cancer Organoids Based on Bright Field Image and Deep Learning,RECRUITING,,,100.0,ESTIMATED,Chongqing University Cancer Hospital,,,,,False,,,,,False,False,,,,,,,,,NO,,2025-06-25 12:16:26.243304,2025-06-25 12:16:26.243304,OTHER,,,,,,False
NCT02710669,,2016-03-12,2021-04-20,,2022-06-01,2016-03-16,2016-03-17,ESTIMATED,2021-04-20,2021-05-14,ACTUAL,,,,2022-06-01,2022-06-03,ACTUAL,2016-10,,2016-10-31,2022-06,2022-06-30,2020-04,ACTUAL,2020-04-30,2020-03-11,ACTUAL,2020-03-11,,INTERVENTIONAL,,One participant was not randomized,New Formulations of Propafenone to Treat Atrial Fibrillation,Comparison of (R) and (S) Propafenone for Prevention of Atrial Fibrillation Induction,TERMINATED,,PHASE1/PHASE2,193.0,ACTUAL,Vanderbilt University Medical Center,,3.0,,Study halted/terminated prematurely due to COVID.,False,,,,True,,,,,,,,,,,UNDECIDED,,2025-06-25 12:16:26.243304,2025-06-25 12:16:26.243304,OTHER,,,,,,
NCT04157868,,2019-11-05,,,2019-11-06,2019-11-06,2019-11-08,ACTUAL,,,,,,,2019-11-06,2019-11-08,ACTUAL,2019-11-30,ESTIMATED,2019-11-30,2019-11,2019-11-30,2022-11-30,ESTIMATED,2022-11-30,2022-09-30,ESTIMATED,2022-09-30,,INTERVENTIONAL,,,Early rhBNP on Myocardial Work in Patients With STEMI,The Impact of Early rhBNP on Myocardial Work in Patients With Anterior ST-segment Elevation Myocardial Infarction After Percutaneous Coronary Intervention,UNKNOWN,NOT_YET_RECRUITING,PHASE4,200.0,ESTIMATED,RenJi Hospital,,2.0,,,False,,,,True,False,False,,,,,,,,,UNDECIDED,,2025-06-25 18:51:03.905308,2025-06-25 18:51:03.905308,OTHER,,,,,,
NCT05817513,,2023-04-05,,,2024-10-08,2023-04-05,2023-04-18,ACTUAL,,,,,,,2024-10-08,2024-10-10,ACTUAL,2023-04-01,ACTUAL,2023-04-01,2024-10,2024-10-31,2023-12-01,ACTUAL,2023-12-01,2023-12-01,ACTUAL,2023-12-01,,INTERVENTIONAL,,,Effect of Myofascial Release on Scoliotic Females With Dysmenorrhea.,"Effect of Myofascial Release on Spinal Curvature, Pre Menstrual Symptoms and Quality of Life in Scoliotic Females With Dysmenorrhea.",COMPLETED,,NA,52.0,ACTUAL,Cairo University,,2.0,,,False,,,,False,False,False,,,,,,,,,NO,,2025-06-25 12:16:26.243304,2025-06-25 12:16:26.243304,OTHER,,,,,,
NCT01386632,,2011-05-23,2016-01-18,,2020-10-02,2011-06-30,2011-07-01,ESTIMATED,2017-05-17,2017-06-14,ACTUAL,,,,2020-10-02,2020-10-27,ACTUAL,2011-05,,2011-05-31,2020-10,2020-10-31,2020-06-01,ACTUAL,2020-06-01,2014-08,ACTUAL,2014-08-31,,INTERVENTIONAL,,,Study of DCA (Dichloroacetate) in Combination With Cisplatin and Definitive Radiation in Head and Neck Carcinoma,Phase II Study of DCA (Dichloroacetate) in Combination With Cisplatin and Definitive Radiation in Stage III-IV Squamous Cell Carcinoma of the Head and Neck,COMPLETED,,PHASE2,50.0,ACTUAL,Sanford Health,,2.0,,,False,,,,True,,,,,,,,,,,NO,,2025-06-25 12:16:26.243304,2025-06-25 12:16:26.243304,OTHER,,,,,,
NCT04323800,,2020-03-24,2022-04-20,,2022-04-22,2020-03-26,2020-03-27,ACTUAL,2022-04-20,2022-04-22,ACTUAL,,,,2022-04-22,2022-04-26,ACTUAL,2020-06-10,ACTUAL,2020-06-10,2022-04,2022-04-30,2021-06-22,ACTUAL,2021-06-22,2021-04-22,ACTUAL,2021-04-22,,INTERVENTIONAL,CSSC-001,,Convalescent Plasma to Stem Coronavirus (CSSC-001),"Convalescent Plasma to Stem Coronavirus: A Randomized, Blinded Phase 2 Study Comparing the Efficacy and Safety Human Coronavirus Immune Plasma (HCIP) vs. Control (SARS-CoV-2 Non-immune Plasma) Among Adults Exposed to COVID-19",COMPLETED,,PHASE2,180.0,ACTUAL,Johns Hopkins University,,2.0,,,,,,,True,True,False,,,False,,,,,,NO,Sharing is governed by Johns Hopkins University Institutional Guidelines,2025-06-25 12:16:26.243304,2025-06-25 12:16:26.243304,OTHER,,,,,,
NCT00489554,,2007-06-20,2012-03-15,,2019-12-30,2007-06-20,2007-06-21,ESTIMATED,2012-04-12,2012-05-10,ESTIMATED,,,,2019-12-30,2020-01-13,ACTUAL,2007-07-03,ACTUAL,2007-07-03,2019-12,2019-12-31,2008-03-31,ACTUAL,2008-03-31,2008-03-31,ACTUAL,2008-03-31,,INTERVENTIONAL,,,Primary Vaccination Study With a Pneumococcal Conjugate Vaccine in Healthy Children 6 to 12wks of Age,"Primary Vaccination Course in Children Receiving the Pneumococcal Vaccine GSK 1024850A, Infanrix Hexa and Rotarix",COMPLETED,,PHASE3,230.0,ACTUAL,GlaxoSmithKline,,1.0,,,False,,,,,,,,,,,,IPD is available via the Clinical Study Data Request site (click on the link provided below).,"Access is provided after a research proposal is submitted and has received approval from the Independent Review Panel and after a Data Sharing Agreement is in place. Access is provided for an initial period of 12 months but an extension can be granted, when justified, for up to another 12 months.",https://clinicalstudydatarequest.com/Posting.aspx?ID=256,YES,IPD is available via the Clinical Study Data Request site (click on the link provided below).,2025-06-25 12:16:26.243304,2025-06-25 12:16:26.243304,INDUSTRY,,,,,,
NCT06086548,,2023-10-11,,,2023-10-11,2023-10-11,2023-10-17,ACTUAL,,,,,,,2023-10-11,2023-10-17,ACTUAL,2024-01,ESTIMATED,2024-01-31,2023-10,2023-10-31,2026-03,ESTIMATED,2026-03-31,2026-01,ESTIMATED,2026-01-31,,OBSERVATIONAL,METIN-FSHD,,Unraveling Metabolic Involvement in Facioscapulohumeral Dystrophy Through Metabolomics,Unraveling Metabolic Involvement in Facioscapulohumeral Dystrophy Through Metabolomics,NOT_YET_RECRUITING,,,120.0,ESTIMATED,"University Hospital, Angers",,,2.0,,False,,,,False,False,False,,,,SAMPLES_WITHOUT_DNA,heparinated plasma samples,,,,NO,,2025-06-25 12:16:26.243304,2025-06-25 12:16:26.243304,OTHER_GOV,,,,,,False
NCT00000118,,1999-09-23,,,2009-09-16,1999-09-23,1999-09-24,ESTIMATED,,,,,,,2009-09-16,2009-09-17,ESTIMATED,1992-10,,1992-10-31,2009-09,2009-09-30,1993-12,ACTUAL,1993-12-31,,,,,INTERVENTIONAL,,,Ganciclovir Implant Study for Cytomegalovirus Retinitis,,COMPLETED,,PHASE3,,,National Eye Institute (NEI),,,,,False,,,,,,,,,,,,,,,,,2025-06-25 18:51:03.905308,2025-06-25 18:51:03.905308,NIH,,,,,,
NCT00424359,,2007-01-17,,,2011-05-12,2007-01-18,2007-01-19,ESTIMATED,,,,,,,2011-05-12,2011-05-16,ESTIMATED,2005-04,,2005-04-30,2011-05,2011-05-31,2009-01,ACTUAL,2009-01-31,,,,,OBSERVATIONAL,,,Ambulation Study in Multiple Sclerosis,A Prospective Study of Clinical Indices as Predictors of Ambulatory Effectiveness in Multiple Sclerosis,COMPLETED,,,40.0,ESTIMATED,"Brown, Theodore R., M.D., MPH",,,,,False,,,,False,,,,,,,,,,,,,2025-06-26 01:17:51.567718,2025-06-26 01:17:51.567718,INDIV,,,,,,
NCT05679050,,2022-11-15,,,2023-01-08,2023-01-08,2023-01-10,ACTUAL,,,,,,,2023-01-08,2023-01-10,ACTUAL,2022-10-01,ACTUAL,2022-10-01,2022-11,2022-11-30,2025-10-01,ESTIMATED,2025-10-01,2024-10-01,ESTIMATED,2024-10-01,,INTERVENTIONAL,,,Phase II Study on Sequential AG and FOLFIRINOX as Neoadjuvant Therapy in Patients With Resectable Pancreatic Cancer,"Single-arm, Single-centered, Open-label Phase II Study on Sequential AG Regimen and FOLFIRINOX Regimen as Neoadjuvant Therapy in Patients With Resectable Pancreatic Cancer",RECRUITING,,PHASE2,30.0,ESTIMATED,Tianjin Medical University Cancer Institute and Hospital,,1.0,,,False,,,,False,False,False,,,True,,,,,,NO,,2025-06-26 01:17:51.567718,2025-06-26 01:17:51.567718,OTHER,,,,,,
NCT06507527,,2024-06-18,,,2024-07-11,2024-07-11,2024-07-18,ACTUAL,,,,,,,2024-07-11,2024-07-18,ACTUAL,2024-06-10,ACTUAL,2024-06-10,2024-06,2024-06-30,2025-01-31,ESTIMATED,2025-01-31,2025-01-31,ESTIMATED,2025-01-31,16 Months,OBSERVATIONAL,FRIEND,,Frailty in Outpatient Digestive Endoscopy,ASSESSMENT OF THE ADEQUACY IN CARE OF THE FRAGILE PATIENT IN A DIGESTIVE ENDOSCOPY UNIT FRIEND Study (FRailty In ENDoscopy) Estudi FRIEND (FRailty In ENDoscopy),RECRUITING,,,1474.0,ESTIMATED,Parc de Salut Mar,,,1.0,,False,,,,,False,False,,,,,,"Once patient recruitment is completed, the statistician will have the study data available for as long as he or she considers appropriate to perform the analyses. The time required until the study is accepted for publication is considered appropriate.",The statistician will have access to the entire study database for the relevant statistical analyses.,,YES,All data collected will be entered into a database so that statistical analysis can later be carried out. This database must subsequently be shared with the statistics service of our hospital in order to perform an appropriate statistical analysis.,2025-06-24 22:04:59.160261,2025-06-24 22:04:59.160261,OTHER,,,,,,True
NCT03555240,,2018-05-18,,,2019-11-08,2018-05-31,2018-06-13,ACTUAL,,,,,,,2019-11-08,2019-11-12,ACTUAL,2014-10-27,ACTUAL,2014-10-27,2018-05,2018-05-31,2018-09-28,ACTUAL,2018-09-28,2018-09-28,ACTUAL,2018-09-28,,OBSERVATIONAL,RABiobank,,Regional Registry-based Biobank Development and Pharmacogenetic Analysis in Rheumatoid Arthritis,Regional Registry-based Biobank Development and Pharmacogenetic Analysis: Synergistic Strategies Driving Towards Personalized Medicine in Rheumatoid Arthritis Management,COMPLETED,,,600.0,ACTUAL,Istituto Ortopedico Rizzoli,,,1.0,,False,,,,False,False,False,,,,SAMPLES_WITH_DNA,whole blood,,,,NO,No Plan,2025-06-25 18:51:03.905308,2025-06-25 18:51:03.905308,OTHER,,,,,,False
NCT03759730,,2018-11-23,,,2019-01-30,2018-11-28,2018-11-30,ACTUAL,,,,,,,2019-01-30,2019-01-31,ACTUAL,2018-01-05,ACTUAL,2018-01-05,2019-01,2019-01-31,2018-11-28,ACTUAL,2018-11-28,2018-11-28,ACTUAL,2018-11-28,,OBSERVATIONAL,ROMA LA-OPSCC,,Role of Microbiome as a Biomarkers in Locoregionally-Advanced Oropharyngeal Squamous Cell Carcinoma,Role of Microbiome as a Biomarkers in Locoregionally-Advanced Oropharyngeal Squamous Cell Carcinoma (ROMA LA-OPSCC),COMPLETED,,,26.0,ACTUAL,"University Health Network, Toronto",,,,,False,,,,False,False,False,,,,SAMPLES_WITH_DNA,"Saliva, oropharyngeal swab over the tumor site, and stool sample are needed to assess the feasibility of microbiome evaluation in LA-OPSCC patients undergoing chemoradiotherapy (CRT).",,,,NO,,2025-06-26 01:17:51.567718,2025-06-26 01:17:51.567718,OTHER,,,,,,False
NCT00513123,,2007-08-07,,,2012-07-31,2007-08-07,2007-08-08,ESTIMATED,,,,,,,2012-07-31,2012-08-01,ESTIMATED,2002-09,,2002-09-30,2012-07,2012-07-31,2009-02,ACTUAL,2009-02-28,2009-02,ACTUAL,2009-02-28,,OBSERVATIONAL,,,Measurement of Digital Colposcopy for Fluorescence Spectroscopy of Cervical Intraepithelial Neoplasia,A Pilot Study: Measurement of Digital Colposcopy for Fluorescence Spectroscopy of Cervical Intraepithelial Neoplasia,COMPLETED,,,100.0,ACTUAL,M.D. Anderson Cancer Center,,,1.0,,False,,,,False,,,,,,,,,,,,,2025-06-25 12:16:26.243304,2025-06-25 12:16:26.243304,OTHER,,,,,,
NCT00837044,,2009-02-04,,,2009-02-04,2009-02-04,2009-02-05,ESTIMATED,,,,,,,2009-02-04,2009-02-05,ESTIMATED,2009-02,,2009-02-28,2009-02,2009-02-28,2009-09,ESTIMATED,2009-09-30,2009-07,ESTIMATED,2009-07-31,,INTERVENTIONAL,,,Treximet in Acute Migraine Headache: Assessing Cognitive Function,"An Evaluation of Treximet in the Treatment of Acute Migraine Headache: A Placebo-Controlled, Double-Blind, Crossover Study, Assessing Cognitive Function.",UNKNOWN,RECRUITING,NA,30.0,ESTIMATED,Neurological Research Center,,2.0,,,False,,,,False,,,,,,,,,,,,,2025-06-25 12:16:26.243304,2025-06-25 12:16:26.243304,INDUSTRY,,,,,,
NCT02737241,,2016-03-27,,,2018-03-31,2016-04-09,2016-04-13,ESTIMATED,,,,,,,2018-03-31,2018-04-03,ACTUAL,2015-06-01,ACTUAL,2015-06-01,2018-03,2018-03-31,2018-02,ACTUAL,2018-02-28,2017-03-01,ACTUAL,2017-03-01,,INTERVENTIONAL,,,HoLEP (50W) vs. HoLEP (100W) for Treatment of BPH,Randomized Clinical Trial Comparing Low Power (50W) Holmium Laser Enucleation of the Prostate (HoLEP) Versus High Power (100W) HoLEP,COMPLETED,,NA,121.0,ACTUAL,Mansoura University,,2.0,,,False,,,,True,,,,,,,,,,,NO,,2025-06-26 01:17:51.567718,2025-06-26 01:17:51.567718,OTHER,,,,,,
NCT04004520,,2019-06-28,,,2022-07-12,2019-06-28,2019-07-02,ACTUAL,,,,,,,2022-07-12,2022-07-13,ACTUAL,2019-07-24,ACTUAL,2019-07-24,2022-07,2022-07-31,2019-08-19,ACTUAL,2019-08-19,2019-08-08,ACTUAL,2019-08-08,,INTERVENTIONAL,,,Feasibility of Collecting Stress Biomarkers Among Youth Experiencing Homelessness,Feasibility of Collecting Stress Biomarkers Among Youth Experiencing Homelessness,COMPLETED,,NA,30.0,ACTUAL,Ohio State University,,3.0,,,False,,,,False,False,False,,,,,,,,,NO,,2025-06-25 12:16:26.243304,2025-06-25 12:16:26.243304,OTHER,,,,,,
