nct_id,phase,condition,intervention_type,sponsor_type,enrollment,status,outcome_label
NCT00000151,PHASE3,Blindness,DRUG,NIH,,COMPLETED,
NCT00000152,PHASE3,Macular Degeneration,DRUG,NIH,,UNKNOWN,
NCT00000153,PHASE3,Diabetic Retinopathy,PROCEDURE,NIH,,COMPLETED,
NCT00000154,PHASE3,Diabetic Retinopathy,PROCEDURE,NIH,,COMPLETED,
NCT00000155,,Keratoconus,,NIH,,UNKNOWN,
NCT00000156,PHASE3,Retinopathy of Prematurity,DEVICE,NIH,,COMPLETED,
NCT00000157,PHASE3,Cataract,DRUG,NIH,,TERMINATED,
NCT00000158,PHASE3,Choroidal Neovascularization,PROCEDURE,NIH,,UNKNOWN,
NCT00000159,PHASE3,Diabetic Retinopathy,DRUG,NIH,,COMPLETED,
NCT00000160,PHASE3,Diabetic Retinopathy,PROCEDURE,NIH,,COMPLETED,
NCT00000161,PHASE3,Macular Degeneration,DRUG,NIH,,UNKNOWN,
NCT00000162,PHASE3,Macular Degeneration,PROCEDURE,NIH,,COMPLETED,
NCT00000163,,Esotropia,,NIH,,COMPLETED,
NCT00000167,PHASE3,Macular Degeneration,PROCEDURE,NIH,1052.0,COMPLETED,
NCT00000168,,HIV Infections,,NIH,2392.0,COMPLETED,
NCT00000169,,Myopia,,NIH,,UNKNOWN,
NCT00000170,PHASE3,Amblyopia,DRUG,NIH,419.0,COMPLETED,
NCT00000171,PHASE3,Alzheimer Disease,DRUG,NIH,,COMPLETED,
NCT00000172,PHASE3,Alzheimer Disease,DRUG,INDUSTRY,,COMPLETED,
NCT00000173,PHASE3,Alzheimer Disease,DRUG,OTHER,,COMPLETED,
NCT00000174,PHASE3,Alzheimer Disease,DRUG,INDUSTRY,,COMPLETED,
NCT00000175,NA,Cognition Disorders,DRUG,NIH,,TERMINATED,
NCT00000176,PHASE3,Alzheimer Disease,DRUG,NIH,,COMPLETED,
NCT00000177,PHASE3,Alzheimer Disease,DRUG,NIH,120.0,COMPLETED,
NCT00000178,PHASE3,Alzheimer Disease,DRUG,NIH,,COMPLETED,
NCT00000179,PHASE3,Alzheimer Disease,DRUG,NIH,,COMPLETED,
NCT00000180,PHASE1,Memory Disorders,DRUG,NIH,,COMPLETED,
NCT00000187,PHASE2,Cocaine-Related Disorders,DRUG,NIH,80.0,COMPLETED,
NCT00000188,PHASE2,Cocaine-Related Disorders,DRUG,NIH,50.0,COMPLETED,
NCT00000189,PHASE2,Cocaine-Related Disorders,DRUG,NIH,41.0,COMPLETED,
NCT00000190,PHASE1,Cocaine-Related Disorders,PROCEDURE,NIH,0.0,COMPLETED,
NCT00000191,PHASE2,Cocaine-Related Disorders,DRUG,NIH,0.0,COMPLETED,
NCT00000192,PHASE2,Opioid-Related Disorders,DRUG,NIH,0.0,WITHDRAWN,
NCT00000193,PHASE2,Opioid-Related Disorders,DRUG,NIH,0.0,WITHDRAWN,
NCT00000194,PHASE2,Opioid-Related Disorders,DRUG,NIH,0.0,WITHDRAWN,
NCT00000195,PHASE2,Opioid-Related Disorders,DRUG,NIH,0.0,WITHDRAWN,
NCT00000196,PHASE2,Opioid-Related Disorders,DRUG,NIH,0.0,WITHDRAWN,
NCT00000197,PHASE2,Cocaine-Related Disorders,DRUG,OTHER,0.0,COMPLETED,
NCT00000198,PHASE1,Cocaine-Related Disorders,DRUG,NIH,0.0,COMPLETED,
NCT00000199,PHASE1,Cocaine-Related Disorders,DRUG,NIH,0.0,WITHDRAWN,
NCT00000200,PHASE2,Cocaine-Related Disorders,DRUG,OTHER,19.0,COMPLETED,
NCT00000201,PHASE2,Cocaine-Related Disorders,DRUG,OTHER,0.0,COMPLETED,
NCT00000202,PHASE2,Opioid-Related Disorders,DRUG,NIH,0.0,COMPLETED,
NCT00000203,PHASE2,Opioid-Related Disorders,DRUG,NIH,0.0,COMPLETED,
NCT00000204,PHASE2,Opioid-Related Disorders,DRUG,NIH,0.0,COMPLETED,
NCT00000205,PHASE3,Opioid-Related Disorders,DRUG,NIH,0.0,COMPLETED,
NCT00000206,PHASE2,Opioid-Related Disorders,DRUG,NIH,0.0,COMPLETED,
NCT00000207,PHASE3,Opioid-Related Disorders,DRUG,NIH,0.0,COMPLETED,
NCT00000208,PHASE2,Opioid-Related Disorders,DRUG,NIH,0.0,COMPLETED,
NCT00000209,PHASE2,Opioid-Related Disorders,DRUG,NIH,0.0,COMPLETED,
NCT00000210,PHASE2,Cocaine-Related Disorders,DRUG,OTHER,0.0,COMPLETED,
NCT00000211,PHASE2,Cocaine-Related Disorders,DRUG,OTHER,0.0,COMPLETED,
NCT00000212,PHASE2,Cocaine-Related Disorders,DRUG,NIH,0.0,COMPLETED,
NCT00000213,PHASE2,Cocaine-Related Disorders,DRUG,NIH,0.0,COMPLETED,
NCT00000214,PHASE2,Cocaine-Related Disorders,DRUG,NIH,0.0,COMPLETED,
NCT00000215,PHASE2,Cocaine-Related Disorders,DRUG,OTHER,0.0,COMPLETED,
NCT00000216,PHASE3,Cocaine-Related Disorders,DRUG,NIH,0.0,COMPLETED,
NCT00000217,PHASE2,Cocaine-Related Disorders,DRUG,NIH,,COMPLETED,
NCT00000218,PHASE4,Cocaine-Related Disorders,DRUG,FED,353.0,COMPLETED,
NCT00000219,PHASE1,Opioid-Related Disorders,DRUG,NIH,0.0,COMPLETED,
NCT00000220,PHASE1,Opioid-Related Disorders,DRUG,OTHER,0.0,COMPLETED,
NCT00000221,PHASE1,Opioid-Related Disorders,DRUG,OTHER,0.0,COMPLETED,
NCT00000222,PHASE1,Opioid-Related Disorders,DRUG,OTHER,0.0,COMPLETED,
NCT00000223,PHASE2,Opioid-Related Disorders,DRUG,OTHER,0.0,COMPLETED,
NCT00000224,PHASE1,Opioid-Related Disorders,DRUG,OTHER,0.0,COMPLETED,
NCT00000225,PHASE2,Opioid-Related Disorders,DRUG,OTHER,0.0,COMPLETED,
NCT00000226,PHASE2,Opioid-Related Disorders,DRUG,OTHER,0.0,COMPLETED,
NCT00000227,PHASE2,Opioid-Related Disorders,DRUG,NIH,0.0,COMPLETED,
NCT00000228,PHASE2,Opioid-Related Disorders,DRUG,OTHER,0.0,COMPLETED,
NCT00000229,PHASE2,Opioid-Related Disorders,DRUG,NIH,0.0,COMPLETED,
NCT00000230,PHASE2,Opioid-Related Disorders,DRUG,NIH,0.0,COMPLETED,
NCT00000231,PHASE2,Opioid-Related Disorders,DRUG,OTHER,0.0,COMPLETED,
NCT00000232,PHASE2,Opioid-Related Disorders,DRUG,NIH,0.0,COMPLETED,
NCT00000233,PHASE2,Opioid-Related Disorders,DRUG,OTHER,0.0,COMPLETED,
NCT00000234,PHASE2,Opioid-Related Disorders,DRUG,NIH,0.0,COMPLETED,
NCT00000235,PHASE2,Opioid-Related Disorders,DRUG,OTHER,0.0,COMPLETED,
NCT00000236,PHASE2,Opioid-Related Disorders,DRUG,OTHER,0.0,COMPLETED,
NCT00000237,PHASE2,Opioid-Related Disorders,DRUG,OTHER,0.0,COMPLETED,
NCT00000238,PHASE2,Opioid-Related Disorders,DRUG,OTHER,0.0,COMPLETED,
NCT00000239,PHASE2,Opioid-Related Disorders,DRUG,OTHER,0.0,COMPLETED,
NCT00000240,PHASE2,Cocaine-Related Disorders,DRUG,NIH,0.0,COMPLETED,
NCT00000241,PHASE2,Substance-Related Disorders,DRUG,OTHER,58.0,COMPLETED,
NCT00000242,PHASE2,Cocaine-Related Disorders,DRUG,NIH,0.0,COMPLETED,
NCT00000243,NA,Opioid-Related Disorders,DRUG,NIH,16.0,TERMINATED,
NCT00000244,PHASE2,Opioid-Related Disorders,DRUG,NIH,0.0,COMPLETED,
NCT00000245,PHASE2,Cocaine-Related Disorders,DRUG,OTHER,0.0,COMPLETED,
NCT00000246,PHASE2,Substance-Related Disorders,DRUG,NIH,10.0,COMPLETED,
NCT00000248,PHASE3,Cocaine-Related Disorders,DRUG,NIH,0.0,COMPLETED,
NCT00000249,PHASE2,Opioid-Related Disorders,DRUG,NIH,10.0,COMPLETED,
NCT00000250,PHASE2,Opioid-Related Disorders,DRUG,NIH,12.0,COMPLETED,
NCT00000251,PHASE2,Opioid-Related Disorders,DRUG,NIH,10.0,COMPLETED,
NCT00000252,PHASE2,Opioid-Related Disorders,DRUG,NIH,11.0,COMPLETED,
NCT00000253,NA,Opioid-Related Disorders,DRUG,NIH,16.0,COMPLETED,
NCT00000254,PHASE2,Opioid-Related Disorders,DRUG,NIH,10.0,COMPLETED,
NCT00000255,PHASE2,Opioid-Related Disorders,DRUG,NIH,10.0,COMPLETED,
NCT00000256,NA,Opioid-Related Disorders,DRUG,NIH,11.0,COMPLETED,
NCT00000257,NA,Alcohol-Related Disorders,DRUG,NIH,19.0,COMPLETED,
NCT00000258,NA,Opioid-Related Disorders,DRUG,NIH,22.0,COMPLETED,
NCT00000259,NA,Opioid-Related Disorders,DRUG,NIH,12.0,COMPLETED,
NCT00000260,NA,Opioid-Related Disorders,DRUG,NIH,18.0,COMPLETED,
NCT00000261,PHASE2,Alcohol-Related Disorders,DRUG,NIH,14.0,COMPLETED,
NCT00000262,NA,Opioid-Related Disorders,DRUG,NIH,20.0,COMPLETED,
NCT00000263,NA,Opioid-Related Disorders,DRUG,NIH,11.0,COMPLETED,
NCT00000264,NA,Opioid-Related Disorders,DRUG,NIH,8.0,COMPLETED,
NCT00000265,,Opioid-Related Disorders,,NIH,46.0,COMPLETED,
NCT00000266,PHASE2,Cocaine-Related Disorders,DRUG,OTHER,0.0,COMPLETED,
NCT00000267,PHASE2,Cocaine-Related Disorders,DRUG,OTHER,0.0,COMPLETED,
NCT00000268,NA,Cocaine-Related Disorders,DRUG,OTHER,32.0,COMPLETED,
NCT00000269,PHASE2,Cocaine-Related Disorders,DRUG,OTHER,0.0,COMPLETED,
NCT00000270,PHASE4,Cocaine-Related Disorders,DRUG,NIH,0.0,WITHDRAWN,
NCT00000271,PHASE2,Cocaine-Related Disorders,DRUG,NIH,111.0,COMPLETED,
NCT00000273,PHASE2,Heroin Dependence,DRUG,NIH,8.0,COMPLETED,
NCT00000274,PHASE2,Cocaine-Related Disorders,DRUG,OTHER,60.0,COMPLETED,
NCT00000275,PHASE2,Cocaine-Related Disorders,DRUG,OTHER,16.0,COMPLETED,
NCT00000276,PHASE1,Cocaine-Related Disorders,DRUG,NIH,0.0,TERMINATED,
NCT00000277,PHASE2,Cocaine-Related Disorders,DRUG,NIH,0.0,COMPLETED,
NCT00000278,PHASE2,Alcohol-Related Disorders,DRUG,NIH,0.0,COMPLETED,
NCT00000279,PHASE2,Opioid-Related Disorders,DRUG,NIH,0.0,COMPLETED,
NCT00000280,PHASE1,Cocaine-Related Disorders,DRUG,NIH,0.0,COMPLETED,
NCT00000281,PHASE2,Cocaine-Related Disorders,BEHAVIORAL,NIH,0.0,COMPLETED,
NCT00000282,PHASE2,Cocaine-Related Disorders,DRUG,NIH,0.0,COMPLETED,
NCT00000284,PHASE2,Tobacco Use Disorder,DRUG,OTHER,0.0,COMPLETED,
NCT00000285,PHASE1,Cocaine-Related Disorders,DRUG,OTHER,0.0,COMPLETED,
NCT00000286,PHASE2,Cocaine-Related Disorders,DRUG,OTHER,0.0,COMPLETED,
NCT00000287,,Cocaine-Related Disorders,,OTHER,0.0,COMPLETED,
NCT00000288,PHASE2,Tobacco Use Disorder,DRUG,OTHER,0.0,COMPLETED,
NCT00000289,PHASE2,Tobacco Use Disorder,DRUG,OTHER,0.0,COMPLETED,
NCT00000290,PHASE1,Cocaine-Related Disorders,DRUG,OTHER,0.0,COMPLETED,
NCT00000291,PHASE2,Cocaine-Related Disorders,DRUG,OTHER,0.0,COMPLETED,
NCT00000292,PHASE1,Cocaine-Related Disorders,PROCEDURE,OTHER,0.0,COMPLETED,
NCT00000293,PHASE3,Cocaine-Related Disorders,DRUG,OTHER,0.0,COMPLETED,
NCT00000294,PHASE2,Cocaine-Related Disorders,DRUG,OTHER,0.0,COMPLETED,
NCT00000295,PHASE2,Tobacco Use Disorder,DRUG,OTHER,0.0,COMPLETED,
NCT00000296,PHASE2,Tobacco Use Disorder,DRUG,OTHER,0.0,COMPLETED,
NCT00000297,PHASE2,Tobacco Use Disorder,DRUG,OTHER,0.0,COMPLETED,
NCT00000298,PHASE2,Opioid-Related Disorders,DRUG,NIH,0.0,COMPLETED,
NCT00000299,PHASE2,Opioid-Related Disorders,DRUG,NIH,12.0,COMPLETED,
NCT00000300,PHASE4,Opioid-Related Disorders,DRUG,NIH,0.0,COMPLETED,
NCT00000301,PHASE2,Cocaine-Related Disorders,DRUG,NIH,0.0,COMPLETED,
NCT00000302,PHASE3,Heroin Dependence,DRUG,NIH,0.0,COMPLETED,
NCT00000303,PHASE2,Cocaine-Related Disorders,DRUG,NIH,0.0,COMPLETED,
NCT00000304,PHASE2,Cocaine-Related Disorders,DRUG,OTHER,120.0,COMPLETED,
NCT00000305,PHASE1,Cocaine-Related Disorders,DRUG,NIH,0.0,TERMINATED,
NCT00000306,PHASE2,Cocaine-Related Disorders,DRUG,OTHER,140.0,COMPLETED,
NCT00000307,PHASE2,Alcohol-Related Disorders,DRUG,OTHER,0.0,COMPLETED,
NCT00000308,PHASE2,Cocaine-Related Disorders,DRUG,OTHER,54.0,COMPLETED,
NCT00000309,PHASE2,Cocaine-Related Disorders,DRUG,NIH,0.0,TERMINATED,
NCT00000310,PHASE2,Cocaine-Related Disorders,DRUG,FED,0.0,TERMINATED,
NCT00000311,PHASE3,Cocaine-Related Disorders,DRUG,NIH,168.0,COMPLETED,
NCT00000312,PHASE1,Cocaine-Related Disorders,DRUG,FED,0.0,COMPLETED,
NCT00000313,PHASE1,Cocaine-Related Disorders,DRUG,FED,0.0,TERMINATED,
NCT00000314,PHASE2,Cocaine-Related Disorders,DRUG,FED,0.0,COMPLETED,
NCT00000315,PHASE1,Cocaine-Related Disorders,DRUG,OTHER,0.0,COMPLETED,
NCT00000316,PHASE1,Cocaine-Related Disorders,DRUG,OTHER,0.0,COMPLETED,
NCT00000317,PHASE2,Cocaine-Related Disorders,DRUG,NIH,31.0,COMPLETED,
NCT00000318,PHASE2,Opioid-Related Disorders,DRUG,OTHER,202.0,COMPLETED,
NCT00000319,PHASE2,Opioid-Related Disorders,DRUG,NIH,0.0,COMPLETED,
NCT00000320,PHASE1/PHASE2,Opioid-Related Disorders,DRUG,NIH,120.0,COMPLETED,
NCT00000321,PHASE4,Substance-Related Disorders,DRUG,OTHER,0.0,COMPLETED,
NCT00000322,PHASE2,Amphetamine-Related Disorders,BEHAVIORAL,NIH,89.0,COMPLETED,
NCT00000323,,Cocaine-Related Disorders,,NIH,10.0,COMPLETED,
NCT00000324,PHASE2,Cocaine-Related Disorders,DRUG,OTHER,200.0,COMPLETED,
NCT00000325,PHASE1,Cocaine-Related Disorders,BEHAVIORAL,OTHER,0.0,COMPLETED,
NCT00000326,PHASE2,Heroin Dependence,DRUG,NIH,0.0,WITHDRAWN,
NCT00000327,PHASE2,Heroin Dependence,DRUG,NIH,0.0,WITHDRAWN,
NCT00000328,PHASE2,Heroin Dependence,DRUG,NIH,0.0,WITHDRAWN,
NCT00000329,PHASE2,Heroin Dependence,DRUG,NIH,0.0,WITHDRAWN,
NCT00000330,PHASE2,Heroin Dependence,DRUG,NIH,0.0,WITHDRAWN,
NCT00000331,PHASE2,Heroin Dependence,DRUG,NIH,0.0,WITHDRAWN,
NCT00000332,PHASE2,Cocaine-Related Disorders,DRUG,FED,0.0,COMPLETED,
NCT00000333,PHASE2,Cocaine-Related Disorders,DRUG,FED,0.0,COMPLETED,
NCT00000334,PHASE2,Opioid-Related Disorders,DRUG,FED,0.0,COMPLETED,
NCT00000335,PHASE2,Opioid-Related Disorders,DRUG,FED,0.0,COMPLETED,
NCT00000336,PHASE2,Cocaine-Related Disorders,DRUG,NIH,0.0,COMPLETED,
NCT00000337,PHASE1,Cocaine-Related Disorders,DRUG,NIH,0.0,COMPLETED,
NCT00000338,PHASE1,Cocaine-Related Disorders,DRUG,NIH,2.0,UNKNOWN,
NCT00000339,PHASE1,Cocaine-Related Disorders,DRUG,NIH,13.0,UNKNOWN,
NCT00000340,PHASE2,Cocaine-Related Disorders,DRUG,NIH,0.0,WITHDRAWN,
NCT00000341,PHASE2,Opioid-Related Disorders,DRUG,NIH,1.0,COMPLETED,
NCT00000342,PHASE2,Cocaine-Related Disorders,DRUG,NIH,0.0,COMPLETED,
NCT00000343,PHASE4,Substance-Related Disorders,BEHAVIORAL,NIH,90.0,COMPLETED,
NCT00000344,PHASE2,Opioid-Related Disorders,DRUG,NIH,40.0,COMPLETED,
NCT00000345,PHASE1,Opioid-Related Disorders,DRUG,NIH,0.0,COMPLETED,
NCT00000346,PHASE4,Amphetamine-Related Disorders,BEHAVIORAL,NIH,80.0,UNKNOWN,
NCT00000347,PHASE2,Cocaine-Related Disorders,DRUG,NIH,0.0,COMPLETED,
NCT00000348,PHASE1,Cocaine-Related Disorders,DRUG,NIH,0.0,UNKNOWN,
NCT00000349,PHASE1,Cocaine-Related Disorders,DRUG,NIH,0.0,UNKNOWN,
NCT00000350,PHASE1,Amphetamine-Related Disorders,PROCEDURE,NIH,0.0,UNKNOWN,
NCT00000351,,Amphetamine-Related Disorders,,NIH,43.0,UNKNOWN,
NCT00000352,PHASE2,Opioid-Related Disorders,DRUG,OTHER,0.0,COMPLETED,
NCT00000353,PHASE2,Opioid-Related Disorders,DRUG,OTHER,0.0,COMPLETED,
NCT00000354,PHASE1,Opioid-Related Disorders,DRUG,OTHER,0.0,COMPLETED,
NCT00000355,PHASE1,Opioid-Related Disorders,DRUG,OTHER,0.0,COMPLETED,
NCT00000356,PHASE2,Opioid-Related Disorders,DRUG,OTHER,0.0,COMPLETED,
NCT00000357,PHASE2,Opioid-Related Disorders,DRUG,OTHER,0.0,COMPLETED,
NCT00000358,PHASE1,Opioid-Related Disorders,DRUG,OTHER,0.0,COMPLETED,
NCT00000359,PHASE2,Vertigo,BEHAVIORAL,NIH,150.0,COMPLETED,
NCT00000361,PHASE3,"Hearing Loss, Sensorineural",DRUG,NIH,,TERMINATED,
NCT00000362,PHASE3,"Pneumonia, Aspiration",BEHAVIORAL,NIH,600.0,TERMINATED,
NCT00000363,PHASE3,Otitis Media,DRUG,NIH,,COMPLETED,
NCT00000367,NA,Depression,DRUG,NIH,,COMPLETED,
NCT00000368,PHASE3,Panic Disorder,BEHAVIORAL,NIH,379.0,COMPLETED,
NCT00000369,PHASE3,Bipolar Disorder,BEHAVIORAL,OTHER,,COMPLETED,
NCT00000370,NA,Phobic Disorders,BEHAVIORAL,NIH,,COMPLETED,
NCT00000371,PHASE3,Schizophrenia,DRUG,OTHER,60.0,COMPLETED,Scale for the Assessment of Negative Symptoms (SANS)
NCT00000372,PHASE3,Schizophrenia,DRUG,OTHER,0.0,WITHDRAWN,
NCT00000373,PHASE4,Obsessive-Compulsive Disorder,DRUG,NIH,74.0,COMPLETED,
NCT00000374,PHASE4,Schizophrenia,DRUG,NIH,125.0,COMPLETED,
NCT00000375,PHASE4,Major Depressive Disorder,DRUG,NIH,,COMPLETED,
NCT00000376,NA,Depression,BEHAVIORAL,NIH,,COMPLETED,
NCT00000377,NA,Depression,DRUG,NIH,,COMPLETED,
NCT00000378,PHASE4,Depression,DRUG,NIH,110.0,COMPLETED,HAMILTON Rating Scale for DEPRESSION Range
NCT00000379,PHASE3,"Stress Disorders, Post-Traumatic",DRUG,NIH,,COMPLETED,
NCT00000380,NA,Sleep Disorders,DRUG,NIH,,COMPLETED,
NCT00000381,PHASE3,Anxiety Disorders,DRUG,NIH,,COMPLETED,
NCT00000382,PHASE3,Child Abuse,BEHAVIORAL,NIH,,COMPLETED,
NCT00000383,NA,"Stress Disorders, Post-Traumatic",BEHAVIORAL,NIH,229.0,COMPLETED,
NCT00000384,PHASE3,Obsessive-Compulsive Disorder,BEHAVIORAL,NIH,,COMPLETED,
NCT00000385,PHASE3,Conduct Disorder,DRUG,NIH,59.0,COMPLETED,
NCT00000386,PHASE3,Obsessive-Compulsive Disorder,BEHAVIORAL,NIH,,COMPLETED,
NCT00000387,PHASE3,Schizophrenia,BEHAVIORAL,NIH,40.0,COMPLETED,
NCT00000388,PHASE4,Attention Deficit Disorder With Hyperactivity,BEHAVIORAL,NIH,,COMPLETED,
NCT00000389,PHASE3,Obsessive-Compulsive Disorder,DRUG,NIH,,COMPLETED,
NCT00000390,PHASE2,Depression,DRUG,INDUSTRY,,COMPLETED,
NCT00000391,PHASE1,HIV Infections,DRUG,NIH,30.0,COMPLETED,
NCT00000392,PHASE2,HIV Infections,DRUG,NIH,215.0,COMPLETED,Change in Global Neurocognitive Performance z Score From Baseline
NCT00000393,PHASE1,HIV Infections,DRUG,NIH,6.0,COMPLETED,
NCT00000394,PHASE2,Carpal Tunnel Syndrome,PROCEDURE,NIH,144.0,COMPLETED,
NCT00000395,PHASE2,Rheumatoid Arthritis,DRUG,NIH,40.0,COMPLETED,
NCT00000396,NA,Arthritis,BEHAVIORAL,NIH,90.0,COMPLETED,
NCT00000397,NA,Fibromyalgia,BEHAVIORAL,NIH,106.0,COMPLETED,
NCT00000398,PHASE2,Fibromyalgia,BEHAVIORAL,NIH,180.0,COMPLETED,
NCT00000399,PHASE2,Osteoporosis,DRUG,NIH,300.0,COMPLETED,
NCT00000400,PHASE2,Osteoporosis,DRUG,NIH,176.0,COMPLETED,
NCT00000401,PHASE2,Rheumatoid Arthritis,DRUG,NIH,110.0,COMPLETED,
NCT00000402,PHASE2,Osteoporosis,DRUG,NIH,354.0,COMPLETED,
NCT00000403,PHASE3,Osteoarthritis,DRUG,NIH,432.0,COMPLETED,
NCT00000404,PHASE2,Osteoarthritis,BEHAVIORAL,NIH,300.0,COMPLETED,
NCT00000405,PHASE2,Osteoporosis,PROCEDURE,NIH,200.0,COMPLETED,
NCT00000406,PHASE2,"Osteoarthritis, Knee",PROCEDURE,NIH,280.0,COMPLETED,
NCT00000407,PHASE2,Arthritis,BEHAVIORAL,NIH,326.0,COMPLETED,
NCT00000408,NA,Low Back Pain,PROCEDURE,NIH,580.0,COMPLETED,
NCT00000409,PHASE4,Spondylolisthesis,PROCEDURE,NIH,304.0,COMPLETED,
NCT00000410,PHASE4,Herniated Disc,PROCEDURE,NIH,501.0,COMPLETED,
NCT00000411,PHASE4,Spinal Stenosis,PROCEDURE,NIH,289.0,COMPLETED,
NCT00000412,PHASE3,Osteoporosis,DRUG,NIH,149.0,COMPLETED,
NCT00000413,PHASE2,Osteoporosis,BEHAVIORAL,NIH,340.0,COMPLETED,
NCT00000414,NA,Rheumatoid Arthritis,BEHAVIORAL,NIH,1200.0,COMPLETED,
NCT00000415,PHASE2,Physical Activity,PROCEDURE,NIH,224.0,COMPLETED,
NCT00000416,NA,Rheumatoid Arthritis,OTHER,NIH,242.0,COMPLETED,
NCT00000417,PHASE2,Systemic Lupus Erythematosus,PROCEDURE,NIH,150.0,COMPLETED,
NCT00000418,PHASE2,Acute Low Back Pain,PROCEDURE,NIH,211.0,COMPLETED,
NCT00000419,PHASE3,Systemic Lupus Erythematosus,DRUG,NIH,350.0,TERMINATED,
NCT00000420,PHASE3,Systemic Lupus Erythematosus,DRUG,NIH,350.0,COMPLETED,
NCT00000421,PHASE2,Systemic Lupus Erythematosus,DRUG,NIH,154.0,COMPLETED,
NCT00000422,PHASE2/PHASE3,Fibromyalgia,BEHAVIORAL,OTHER,312.0,COMPLETED,
NCT00000423,PHASE2,Fibromyalgia,BEHAVIORAL,NIH,600.0,COMPLETED,
NCT00000424,PHASE2,"Osteoarthritis, Knee",PROCEDURE,NIH,180.0,COMPLETED,
